node_id,node_label,node_layer,clinical_domain,is_observable,is_latent,orientation,unit_of_measure,pathway_membership,proxy_for,proxy_r_squared,description,example_instruments,version,active
NODE_PATH_GUT_BRAIN,Gut-Brain Axis Signaling,3,microbiome_immune,0,1,POS_DOWN,z-score_latent,"[""M8""]",N/A_IS_LATENT,N/A_IS_LATENT,Gut-brain axis dysfunction (M8). Chemotherapy-induced dysbiosis → increased intestinal permeability → systemic inflammation → neuroinflammation. Low-Moderate evidence (1.75x SE multiplier). Proxied by Shannon diversity.,"Latent — proxied by NODE_BIO_SHANNON (primary, low R²)",1,1
NODE_PATH_SENESCENCE,Cellular Senescence,3,cellular_damage,0,1,POS_DOWN,z-score_latent,"[""M9""]",N/A_IS_LATENT,N/A_IS_LATENT,Cellular senescence and SASP (M9). Chemotherapy-induced senescent cell accumulation produces pro-inflammatory secretome. Drives accelerated cognitive aging. Proxied by p16^INK4a. Linked to ACC factor in temporal model.,Latent — proxied by NODE_BIO_P16 (primary),1,1
NODE_PATH_GLYMPHATIC,Glymphatic Clearance,3,inflammatory,0,1,POS_UP,z-score_latent,"[""M10""]",N/A_IS_LATENT,N/A_IS_LATENT,Glymphatic waste clearance (M10). Sleep-dependent CNS waste clearance system. Sleep disruption → impaired glymphatic flow → neuroinflammatory metabolite accumulation. Part of LOOP_05 (HPA→Sleep→Glymphatic→Neuroinflammation→HPA). Low-Moderate evidence (1.75x SE).,Latent — no direct peripheral proxy. Inferred from sleep quality + neuroinflammation trajectory,1,1
NODE_PATH_CEREBROVASCULAR,Cerebrovascular Function,3,metabolic,0,1,POS_UP,z-score_latent,"[""M11""]",N/A_IS_LATENT,N/A_IS_LATENT,"Cerebrovascular function and perfusion (M11). EDGELESS PLACEHOLDER — pathway concept without parameterized edges in v1. Cerebral blood flow, endothelial function, vascular stiffness. Future expansion candidate.",Latent — no peripheral proxy. Would require TCD/MRI perfusion if available,1,1
NODE_PATH_EPIGENETIC,Epigenetic Modification,3,cellular_damage,0,1,POS_DOWN,z-score_latent,"[""M12""]",N/A_IS_LATENT,N/A_IS_LATENT,"Epigenetic modification pathway (M12). Chemotherapy-induced DNA methylation changes, histone modifications affecting gene expression in neuronal and glial cells. Low-Moderate evidence (1.75x SE). No validated peripheral proxy for CNS epigenetic state.","Latent — no validated peripheral proxy. Research: global methylation, LINE-1",1,1
NODE_PATH_METABOLIC,Metabolic Dysregulation,3,metabolic,0,1,POS_DOWN,z-score_latent,"[""M13""]",N/A_IS_LATENT,N/A_IS_LATENT,"Metabolic dysregulation pathway (M13). Insulin resistance, impaired cerebral glucose metabolism. Dexamethasone and hormonal therapy can exacerbate. Links to neuroinflammation via metabolic inflammation. Proxied by fasting glucose.","Latent — proxied by NODE_BIO_GLUCOSE (primary), HbA1c, HOMA-IR if available",1,1
NODE_PATH_BBB,Blood-Brain Barrier Disruption,3,inflammatory,0,1,POS_DOWN,z-score_latent,"[""M14""]",N/A_IS_LATENT,N/A_IS_LATENT,BBB disruption pathway (M14). EDGELESS PLACEHOLDER. Chemotherapy-induced BBB permeability allows peripheral inflammatory mediators into CNS. NfL is candidate proxy but cannot distinguish CNS from PNS damage. Future expansion candidate.,"Latent — NODE_BIO_NFL (candidate proxy, low specificity). S100B, albumin quotient if CSF available",1,1
NODE_PATH_SYNAPTIC,Synaptic Function,3,neurotrophic,0,1,POS_UP,z-score_latent,"[""M15""]",N/A_IS_LATENT,N/A_IS_LATENT,"Synaptic function and long-term potentiation (M15). CONVERGENT HUB — receives input from neuroinflammation, BDNF, metabolic, and other pathways. Final common pathway before cognitive domains. 8 edges. No direct peripheral proxy.",Latent — no peripheral proxy. Inferred from convergent pathway structure,1,1
NODE_PATH_MYELIN,Myelin / Oligodendrocyte Integrity,3,cellular_damage,0,1,POS_UP,z-score_latent,"[""M16""]",N/A_IS_LATENT,N/A_IS_LATENT,Myelin and oligodendrocyte integrity (M16). Chemotherapy directly toxic to oligodendrocytes → demyelination → processing speed deficits. Moderate-High evidence (1.15x SE). Primary effect on processing speed domain.,Latent — no peripheral proxy. DTI fractional anisotropy on MRI if available,1,1
NODE_PATH_DOPAMINERGIC,Dopaminergic Signaling,3,neuroendocrine,0,1,POS_UP,z-score_latent,"[""M17""]",N/A_IS_LATENT,N/A_IS_LATENT,Dopaminergic reward and motivation signaling (M17). Chemotherapy may disrupt dopamine synthesis/signaling → reduced motivation → reduced activity engagement → secondary cognitive effects. Low-Moderate evidence (1.75x SE).,Latent — no peripheral proxy. Inferred from motivation/reward behavior patterns,1,1
NODE_SYM_FATIGUE,Cancer-Related Fatigue,4,symptom_burden,1,0,POS_DOWN,z-score,"[""C2"", ""M1""]",N/A_SYMPTOM,N/A,"Cancer-related fatigue severity. Most common CRCI comorbid symptom. Member of LOOP_01 (Fatigue ↔ Physical Activity, gain=0.16). Driven by neuroinflammation (OIC) and deconditioning. Directly impairs cognitive performance.","INST_FACIT_FATIGUE (primary), INST_BFI (alternative)",1,1
NODE_SYM_DEPRESSION,Depression,4,symptom_burden,1,0,POS_DOWN,z-score,"[""C3"", ""M3""]",N/A_SYMPTOM,N/A,"Depressive symptom severity. Member of LOOP_02 (Depression ↔ Sleep, gain=0.14). Part of CAL covariance structure (Cognitive-Affective Loop) with subjective cognition. PHQ-9 has known somatic confound in cancer (SE 1.5x).","INST_PHQ9 (with somatic confound warning), INST_PHQ2 (during active treatment)",1,1
NODE_SYM_ANXIETY,Anxiety,4,symptom_burden,1,0,POS_DOWN,z-score,"[""C3"", ""M3""]",N/A_SYMPTOM,N/A,"Anxiety symptom severity. Member of LOOP_03 (Anxiety ↔ Sleep, gain=0.11). Driven by HPA dysregulation. Impairs attentional control and working memory through worry/rumination.",INST_GAD7 (primary),1,1
NODE_SYM_SLEEP_DISRUPTION,Sleep Disruption,4,symptom_burden,1,0,POS_DOWN,z-score,"[""C1"", ""M10""]",N/A_SYMPTOM,N/A,"Sleep disruption as SYMPTOM (distinct from NODE_BEH_SLEEP_QUALITY which is the behavior). Insomnia severity, fragmented sleep, non-restorative sleep. Member of LOOP_02 and LOOP_03. Impairs glymphatic clearance. Measured by ISI or PSQI component scores.","INST_ISI (primary for insomnia), INST_PSQI (sleep quality composite)",1,1
NODE_SYM_PAIN,Pain,4,symptom_burden,1,0,POS_DOWN,z-score,"[""C2""]",N/A_SYMPTOM,N/A,Pain severity (neuropathic and nociceptive). Chemotherapy-induced peripheral neuropathy is major contributor. Pain medications (opioids) independently impair cognition. Drives fatigue cycle.,"INST_BPI (Brief Pain Inventory), NRS (Numeric Rating Scale), neuropathy grading",1,1
NODE_SYM_COG_COMPLAINTS,Subjective Cognitive Complaints,4,symptom_burden,1,0,POS_DOWN,z-score,"[""C3""]",N/A_SYMPTOM,N/A,Patient-reported cognitive difficulties. Part of CAL covariance structure (correlated with depression — reporting bias). May exceed or underestimate objective cognitive impairment. Important for patient experience but not always correlated with neuropsych testing.,"INST_FACTCOG_PCI (primary), INST_PROMIS_COG (PROMIS Cognitive Function)",1,1
NODE_SYM_DECONDITIONING,Physical Deconditioning,4,symptom_burden,1,0,POS_DOWN,z-score,"[""C2""]",N/A_SYMPTOM,N/A,Physical deconditioning and reduced cardiorespiratory fitness. Consequence of treatment-related fatigue → reduced activity → further deconditioning (vicious cycle). Reduced VO2max impairs cerebral blood flow and oxygen delivery.,"6MWT (6-Minute Walk Test), VO2max/peak, grip strength, self-reported functional status",1,1
NODE_SYM_APPETITE,Appetite / Nausea Disruption,4,symptom_burden,1,0,POS_DOWN,z-score,"[""M8"", ""M13""]",N/A_SYMPTOM,N/A,"Appetite disruption, nausea, weight changes. Chemotherapy-induced. Impacts nutritional status → gut microbiome → metabolic pathways. Particularly relevant during active treatment phase.","EORTC QLQ-C30 appetite items, CTCAE nausea grading, BMI change",1,1
NODE_COG_ATTN_SUSTAINED,Sustained Attention,5,cognitive_performance,1,0,POS_UP,z-score,"[""M15"", ""M17""]",N/A_COGNITIVE,N/A,"Ability to maintain attention over time (vigilance). Commonly impaired in CRCI. Affected by fatigue, sleep disruption, and dopaminergic signaling.","CPT (Continuous Performance Test), sustained attention subtests",1,1
NODE_COG_ATTN_SELECTIVE,Selective Attention,5,cognitive_performance,1,0,POS_UP,z-score,"[""M15""]",N/A_COGNITIVE,N/A,Ability to focus on relevant stimuli while filtering distractors. Impaired by anxiety (rumination occupies attentional resources) and neuroinflammation.,"Stroop Test (color-word), Flanker Task, selective attention subtests",1,1
NODE_COG_PROC_SPEED,Processing Speed,5,cognitive_performance,1,0,POS_UP,z-score,"[""M16"", ""M15""]",N/A_COGNITIVE,N/A,"Speed of information processing. MOST SENSITIVE domain to chemotherapy effects (myelin/oligodendrocyte pathway M16). Often first deficit detected. Primary target of TMT-B, Digit Symbol.","INST_TMT_B (Trail Making B), WAIS Digit Symbol/Coding, Symbol Search",1,1
NODE_COG_WORK_MEM,Working Memory,5,cognitive_performance,1,0,POS_UP,z-score,"[""M15"", ""M4""]",N/A_COGNITIVE,N/A,Ability to hold and manipulate information in short-term memory. Affected by neuroinflammation-mediated prefrontal cortex dysfunction. Linked to BDNF/neuroplasticity.,"Digit Span Backward, N-back task, WAIS Working Memory Index",1,1
NODE_COG_EPISODIC_MEM,Episodic Memory,5,cognitive_performance,1,0,POS_UP,z-score,"[""M4"", ""M5"", ""M15""]",N/A_COGNITIVE,N/A,"Ability to encode, store, and retrieve new information. Hippocampus-dependent. Most affected by neurogenesis pathway (M5) and BDNF (M4). Commonly reported CRCI complaint.","INST_HVLTR (Hopkins Verbal Learning Test-Revised, primary), RAVLT, CVLT",1,1
NODE_COG_VERBAL_FLUENCY,Verbal Fluency,5,cognitive_performance,1,0,POS_UP,z-score,"[""M15"", ""M16""]",N/A_COGNITIVE,N/A,Ability to generate words under constraint (phonemic and semantic). Requires processing speed + executive search + semantic memory. Sensitive to white matter integrity (myelin pathway).,"FAS/COWAT (Controlled Oral Word Association Test), Animal Naming (semantic)",1,1
NODE_COG_EXEC_PLANNING,Executive Function — Planning,5,cognitive_performance,1,0,POS_UP,z-score,"[""M15"", ""M4""]",N/A_COGNITIVE,N/A,"Executive function: planning, sequencing, and organization. Prefrontal cortex-dependent. Impaired by neuroinflammation-mediated PFC dysfunction. The paper splits executive function into planning and inhibition (2 nodes).","Tower of London, Trail Making B (planning component), WCST",1,1
NODE_COG_EXEC_INHIBITION,Executive Function — Inhibition,5,cognitive_performance,1,0,POS_UP,z-score,"[""M15"", ""M17""]",N/A_COGNITIVE,N/A,"Executive function: inhibitory control and response suppression. Dependent on prefrontal-striatal circuits. Linked to dopaminergic signaling (M17). Measured by Stroop interference, Go/No-Go.","Stroop Interference score, Go/No-Go task, Hayling Test",1,1
NODE_COG_VISUOSPATIAL,Visuospatial Function,5,cognitive_performance,1,0,POS_UP,z-score,"[""M15""]",N/A_COGNITIVE,N/A,"Visuospatial processing, construction, and mental rotation. Parietal cortex-dependent. Less commonly reported in CRCI but included for comprehensive cognitive assessment. MoCA includes visuospatial items.","Rey Complex Figure (copy), Block Design, Clock Drawing, MoCA visuospatial items",1,1
NODE_COG_LANGUAGE,Language Comprehension,5,cognitive_performance,1,0,POS_UP,z-score,"[""M15"", ""M16""]",N/A_COGNITIVE,N/A,"Language comprehension and expression beyond word retrieval (which is verbal fluency). Includes reading comprehension, sentence processing, discourse. Less commonly impaired in CRCI but relevant for functional assessment.","Boston Naming Test, Token Test, WAIS Comprehension, reading comprehension tasks",1,1
NODE_COMP_CRCI,CRCI Composite Score,6,cognitive_performance,1,0,POS_UP,composite_percentile,[],N/A_COMPOSITE,N/A,Severity-weighted inverse-variance average across L5 cognitive domains (Formula F-1). Weights w_d = 1/σ²_d. Severity weights 1.0x/1.5x/2.0x at z thresholds 1/2. Six tiers: Excellent(85-100)/Good(70-84)/Mild(50-69)/Moderate(30-49)/Poor(15-29)/Severe(0-14). Score = Φ(-z) × 100.,Computed by ALG-F1 from all L5 node values. Not directly measured.,1,1
