measure_id,measure_name,measure_short,parent_instrument_id,maps_to_node_id,measure_type,unit_of_measure,expected_range_min,expected_range_max,scoring_direction,clinical_cutoff_value,clinical_cutoff_direction,loading_b_k,intercept_a_k,reliability_alpha,reliability_type,cancer_validation_status,se_multiplier,assay_method,sample_type,collection_requirements,normative_population,norm_id,noise_id,time_resolution_days,aggregation_method,is_primary_for_node,alternative_measure_ids_json,somatic_confound_risk,mcid,floor_ceiling_risk,missing_data_strategy,tier_assignment,version,active,citation_key,notes,parameter_confidence
MEAS_CPT_DPRIME,CPT d-prime,CPT-d',INST_CPT,NODE_COG_ATTN_SUSTAINED,subscale,d_prime_units,-2,6,higher_better,N/A,N/A,1.0,0.0,0.85,test_retest,used_in_cancer,1.1,N/A,N/A,N/A,Age/sex stratified (Conners 2014),NORM_CPT_STRATIFIED,NOISE_CPT_DP,0,last,1,[],low,N/A,none,optional,2,v1.0,1,Conners2014,Signal detection theory metric; higher = better discrimination,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_STROOP_INTERFERENCE,Stroop Interference Score,Stroop-Int,INST_STROOP,NODE_COG_EXEC_INHIBITION,subscale,interference_score,-30,60,higher_better,N/A,N/A,1.0,0.0,0.8,test_retest,used_in_cancer,1.1,N/A,N/A,N/A,Age-stratified (Golden & Freshwater 2002),NORM_STROOP_AGE,NOISE_STROOP_INT,0,last,1,[],low,N/A,none,optional,2,v1.0,1,Golden2002,Color-word minus predicted; higher = better inhibitory control,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_DIGIT_BACKWARD,Digit Span Backward,DSB,INST_DIGIT_SPAN,NODE_COG_WORK_MEM,subscale,scaled_score,0,16,higher_better,N/A,N/A,1.0,0.0,0.82,internal_consistency,used_in_cancer,1.1,N/A,N/A,N/A,WAIS-IV norms (Wechsler 2008),NORM_WAIS_STRATIFIED,NOISE_DSB,0,last,1,[],low,N/A,none,optional,2,v1.0,1,Wechsler2008,Backward span most sensitive to working memory; scaled score metric,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_COWAT_PHONEMIC,COWAT Phonemic Fluency (FAS),FAS,INST_COWAT,NODE_COG_VERBAL_FLUENCY,subscale,total_words,0,80,higher_better,N/A,N/A,1.0,0.0,0.83,test_retest,used_in_cancer,1.1,N/A,N/A,N/A,Age/education/sex norms (Tombaugh 1999),NORM_COWAT_STRATIFIED,NOISE_COWAT_PHON,0,sum,1,"[""MEAS_COWAT_SEMANTIC""]",low,N/A,none,optional,2,v1.0,1,Tombaugh1999,Sum of 3 letter trials (F+A+S); 60 seconds each,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_COWAT_SEMANTIC,COWAT Semantic Fluency (Animals),Animals,INST_COWAT,NODE_COG_VERBAL_FLUENCY,subscale,total_words,0,60,higher_better,N/A,N/A,1.0,0.0,0.8,test_retest,used_in_cancer,1.1,N/A,N/A,N/A,Age/education norms,NORM_COWAT_STRATIFIED,NOISE_COWAT_SEM,0,last,0,"[""MEAS_COWAT_PHONEMIC""]",low,N/A,none,optional,2,v1.0,1,Tombaugh1999,Category fluency; animals in 60 seconds; more sensitive to semantic memory,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_FACIT_F_TOTAL,FACIT-Fatigue Total,FACIT-F-total,INST_FACIT_FATIGUE,NODE_SYM_FATIGUE,total_score,points_0_52,0,52,higher_better,30,below,1.0,0.0,0.95,internal_consistency,validated_in_cancer,1.0,N/A,N/A,N/A,Cancer patients (Yellen 1997),NORM_FACIT_CANCER,NOISE_FACIT_F_T,7,sum,1,"[""MEAS_BFI_SEVERITY"", ""MEAS_LFS_MORNING""]",none,3.0,ceiling,require,1,v1.0,1,Yellen1997,Higher = less fatigue; MCID 3 points; Tier 1,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_BFI_SEVERITY,BFI Fatigue Severity,BFI-sev,INST_BFI,NODE_SYM_FATIGUE,subscale,points_0_10,0,10,lower_better,4.0,above,-1.0,10.0,0.96,internal_consistency,validated_in_cancer,1.0,N/A,N/A,N/A,Cancer patients (Mendoza 1999),NORM_BFI_CANCER,NOISE_BFI_SEV,1,mean,0,"[""MEAS_FACIT_F_TOTAL"", ""MEAS_LFS_MORNING""]",none,1.0,floor,optional,1,v1.0,1,Mendoza1999,"3-item severity: worst, usual, now; 0-10 NRS each",A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_LFS_MORNING,LFS Morning Fatigue,LFS-AM,INST_LFS,NODE_SYM_FATIGUE,subscale,points_0_10,0,10,lower_better,3.2,above,-1.0,10.0,0.95,internal_consistency,validated_in_cancer,1.0,N/A,N/A,N/A,Oncology patients (Lee 1991),NORM_LFS_CANCER,NOISE_LFS_AM,1,mean,1,"[""MEAS_LFS_EVENING""]",none,1.0,none,require,1,v1.0,1,Lee1991,Oppegaard 2023 co-occurring symptom indicator; cutoff >3.2,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_LFS_EVENING,LFS Evening Fatigue,LFS-PM,INST_LFS,NODE_SYM_FATIGUE,subscale,points_0_10,0,10,lower_better,5.6,above,-1.0,10.0,0.95,internal_consistency,validated_in_cancer,1.0,N/A,N/A,N/A,Oncology patients (Lee 1991),NORM_LFS_CANCER,NOISE_LFS_PM,1,mean,0,"[""MEAS_LFS_MORNING""]",none,1.0,none,require,1,v1.0,1,Lee1991,Oppegaard 2023 co-occurring symptom indicator; cutoff >5.6,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_PHQ9_TOTAL,PHQ-9 Depression Severity Total,PHQ9-total,INST_PHQ9,NODE_SYM_DEPRESSION,total_score,points_0_27,0,27,lower_better,10,above,-1.0,27.0,0.89,internal_consistency,validated_in_cancer,1.0,N/A,N/A,N/A,Primary care and cancer (Kroenke 2001),NORM_PHQ9_CANCER,NOISE_PHQ9_T,14,sum,1,"[""MEAS_CESD_TOTAL""]",moderate,5.0,floor,require,1,v1.0,1,Kroenke2001,5/10/15/20 severity cutoffs; somatic items 3-5 overlap cancer symptoms,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_CESD_TOTAL,CES-D Depression Total,CESD-total,INST_CESD,NODE_SYM_DEPRESSION,total_score,points_0_60,0,60,lower_better,16,above,-1.0,60.0,0.9,internal_consistency,validated_in_cancer,1.0,N/A,N/A,N/A,General population (Radloff 1977),NORM_CESD_GENERAL,NOISE_CESD_T,7,sum,0,"[""MEAS_PHQ9_TOTAL""]",moderate,4.0,floor,optional,1,v1.0,1,Radloff1977,Oppegaard 2023 co-occurring symptom indicator; cutoff ≥16,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_GAD7_TOTAL,GAD-7 Anxiety Severity Total,GAD7-total,INST_GAD7,NODE_SYM_ANXIETY,total_score,points_0_21,0,21,lower_better,10,above,-1.0,21.0,0.92,internal_consistency,validated_in_cancer,1.0,N/A,N/A,N/A,Primary care and cancer (Spitzer 2006),NORM_GAD7_CANCER,NOISE_GAD7_T,14,sum,1,"[""MEAS_STAI_STATE""]",low,4.0,floor,require,2,v1.0,1,Spitzer2006,5/10/15 severity cutoffs; Tier 2,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_STAI_STATE,STAI State Anxiety Score,STAI-S-total,INST_STAI_S,NODE_SYM_ANXIETY,total_score,points_20_80,20,80,lower_better,32.2,above,-1.0,80.0,0.93,internal_consistency,validated_in_cancer,1.0,N/A,N/A,N/A,US adults (Spielberger 1983),NORM_STAI_US,NOISE_STAI_T,0,sum,0,"[""MEAS_GAD7_TOTAL""]",low,5.0,none,optional,1,v1.0,1,Spielberger1983,Oppegaard 2023 co-occurring symptom indicator; cutoff >32.2,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_PSQI_GLOBAL,PSQI Global Score,PSQI-global,INST_PSQI,NODE_SYM_SLEEP_DISRUPTION,total_score,points_0_21,0,21,lower_better,5,above,-1.0,21.0,0.83,internal_consistency,validated_in_cancer,1.0,N/A,N/A,N/A,Healthy adults (Buysse 1989),NORM_PSQI_CANCER,NOISE_PSQI_G,30,sum,1,"[""MEAS_ISI_TOTAL"", ""MEAS_GSDS_TOTAL""]",none,3.0,floor,require,1,v1.0,1,Buysse1989,7 component scores summed; >5 poor sleep; Tier 1,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_PSQI_LATENCY,PSQI Sleep Latency Component,PSQI-lat,INST_PSQI,NODE_SYM_SLEEP_DISRUPTION,component,points_0_3,0,3,lower_better,N/A,N/A,-0.85,3.0,0.75,internal_consistency,validated_in_cancer,1.0,N/A,N/A,N/A,Healthy adults,NORM_PSQI_CANCER,NOISE_PSQI_LAT,30,sum,0,[],none,N/A,floor,optional,1,v1.0,1,Buysse1989,Component 2: time to fall asleep; 0-3 scoring,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_PSQI_DURATION,PSQI Sleep Duration Component,PSQI-dur,INST_PSQI,NODE_SYM_SLEEP_DISRUPTION,component,points_0_3,0,3,lower_better,N/A,N/A,-0.85,3.0,0.72,internal_consistency,validated_in_cancer,1.0,N/A,N/A,N/A,Healthy adults,NORM_PSQI_CANCER,NOISE_PSQI_DUR,30,sum,0,[],none,N/A,floor,optional,1,v1.0,1,Buysse1989,Component 3: total hours of sleep; 0-3 scoring,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_PSQI_EFFICIENCY,PSQI Habitual Sleep Efficiency Component,PSQI-eff,INST_PSQI,NODE_BEH_SLEEP_QUALITY,component,points_0_3,0,3,lower_better,N/A,N/A,-0.85,3.0,0.7,internal_consistency,validated_in_cancer,1.0,N/A,N/A,N/A,Healthy adults,NORM_PSQI_CANCER,NOISE_PSQI_EFF,30,sum,1,[],none,N/A,none,optional,1,v1.0,1,Buysse1989,Component 4: hours slept / hours in bed × 100; maps to sleep quality behavior node; DESIGNATED PRIMARY for NODE_BEH_SLEEP_QUALITY; aggregation: 7-day mean when combined with actigraphy,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_ISI_TOTAL,ISI Insomnia Severity Total,ISI-total,INST_ISI,NODE_SYM_SLEEP_DISRUPTION,total_score,points_0_28,0,28,lower_better,8,above,-1.0,28.0,0.9,internal_consistency,validated_in_cancer,1.0,N/A,N/A,N/A,Insomnia patients (Morin 2011),NORM_ISI_CANCER,NOISE_ISI_T,14,sum,0,"[""MEAS_PSQI_GLOBAL""]",none,6.0,floor,require,2,v1.0,1,Morin2011,"8-14 subthreshold, 15-21 moderate, 22-28 severe; Tier 2",A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_GSDS_TOTAL,GSDS Total Sleep Disturbance,GSDS-total,INST_GSDS,NODE_SYM_SLEEP_DISRUPTION,total_score,points_0_147,0,147,lower_better,43.0,above,-1.0,147.0,0.88,internal_consistency,validated_in_cancer,1.0,N/A,N/A,N/A,Cancer patients (Lee 1992),NORM_GSDS_CANCER,NOISE_GSDS_T,7,sum,0,"[""MEAS_PSQI_GLOBAL""]",none,5.0,none,optional,1,v1.0,1,Lee1992,Oppegaard 2023 co-occurring symptom indicator; cutoff >43.0,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_BPI_WORST_PAIN,BPI Worst Pain Intensity,BPI-worst,INST_BPI,NODE_SYM_PAIN,subscale,points_0_10,0,10,lower_better,4.0,above,-1.0,10.0,0.91,internal_consistency,validated_in_cancer,1.0,N/A,N/A,N/A,Cancer pain (Cleeland 1994),NORM_BPI_CANCER,NOISE_BPI_WORST,1,max,1,"[""MEAS_NRS_PAIN""]",none,2.0,floor,require,1,v1.0,1,Cleeland1994,Oppegaard 2023 uses worst pain intensity; single item 0-10,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_BPI_INTERFERENCE,BPI Pain Interference,BPI-interf,INST_BPI,NODE_SYM_PAIN,subscale,points_0_10,0,10,lower_better,4.0,above,-1.0,10.0,0.93,internal_consistency,validated_in_cancer,1.0,N/A,N/A,N/A,Cancer pain (Cleeland 1994),NORM_BPI_CANCER,NOISE_BPI_INT,1,mean,0,[],moderate,2.0,floor,optional,1,v1.0,1,Cleeland1994,7-item interference scale; mean of items,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_NRS_PAIN,NRS Pain Intensity,NRS-pain,INST_NRS_PAIN,NODE_SYM_PAIN,total_score,points_0_10,0,10,lower_better,4,above,-1.0,10.0,0.95,test_retest,validated_in_cancer,1.0,N/A,N/A,N/A,Cancer pain (Breivik 2008),NORM_NRS_CANCER,NOISE_NRS_PAIN_T,1,last,0,"[""MEAS_BPI_WORST_PAIN""]",none,2.0,floor,optional,N/A,v1.0,1,Breivik2008,"Single-item 0-10; simplest pain measure; ≥4 moderate, ≥7 severe",A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_PSS_TOTAL,PSS Perceived Stress Total,PSS-total,INST_PSS,NODE_BEH_STRESS_MGMT,total_score,points_0_40,0,40,lower_better,20,above,-1.0,40.0,0.85,internal_consistency,used_in_cancer,1.1,N/A,N/A,N/A,US adults (Cohen 1983),NORM_PSS_US,NOISE_PSS_T,7,sum,1,[],none,4.0,none,optional,N/A,v1.0,1,Cohen1983,Oppegaard 2023 patient-specific factor; largest association with CRCI within latent variable,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_IESR_TOTAL,IES-R Cancer-Specific Stress Total,IESR-total,INST_IES_R,NODE_BEH_STRESS_MGMT,total_score,points_0_88,0,88,lower_better,24,above,-1.0,88.0,0.96,internal_consistency,validated_in_cancer,1.0,N/A,N/A,N/A,Trauma-exposed adults (Weiss 1997),NORM_IESR_TRAUMA,NOISE_IESR_T,7,sum,0,[],low,6.0,floor,optional,N/A,v1.0,1,Weiss1997,Oppegaard 2023 patient-specific factor; cutoff >24 for clinically significant stress,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_LSCR_COUNT,LSC-R Lifetime Stressor Count,LSCR-count,INST_LSC_R,NODE_BEH_STRESS_MGMT,total_score,count_0_30,0,30,lower_better,N/A,N/A,-1.0,30.0,0.8,test_retest,used_in_cancer,1.1,N/A,N/A,N/A,PTSD research (Wolfe 1997),NORM_LSCR_GENERAL,NOISE_LSCR_CT,0,sum,1,[],none,N/A,none,optional,N/A,v1.0,1,Wolfe1997,Oppegaard 2023 SDOH indicator; cumulative lifetime stress; sum of endorsed events,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_CDRISC_TOTAL,CD-RISC Resilience Total,CDRISC-total,INST_CDRISC,NODE_BEH_STRESS_MGMT,total_score,points_0_40,0,40,higher_better,N/A,N/A,1.0,0.0,0.89,internal_consistency,used_in_cancer,1.1,N/A,N/A,N/A,US general population (Connor 2003),NORM_CDRISC_US,NOISE_CDRISC_T,30,sum,1,[],none,3.0,ceiling,optional,N/A,v1.0,1,Connor2003,Oppegaard 2023 SDOH indicator; 10-item version; sample mean 30.1,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_KPS_SCORE,KPS Functional Status Score,KPS-score,INST_KPS,NODE_SYM_DECONDITIONING,total_score,points_10_100,10,100,higher_better,80,below,1.0,0.0,0.85,inter_rater,validated_in_cancer,1.0,N/A,N/A,N/A,Oncology standard (Karnofsky 1948),NORM_KPS_CANCER,NOISE_KPS_T,0,last,1,"[""MEAS_6MWT_DISTANCE""]",none,10.0,ceiling,require,N/A,v1.0,1,Karnofsky1948,Oppegaard 2023 patient-specific factor; decile scale 10-100; sample mean 80,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_SCQ_TOTAL,SCQ Comorbidity Burden,SCQ-total,INST_SCQ,NODE_EXO_COMORBIDITY,total_score,points_0_36,0,36,lower_better,N/A,N/A,-1.0,36.0,0.84,test_retest,validated_in_cancer,1.0,N/A,N/A,N/A,Surgical patients (Sangha 2003),NORM_SCQ_GENERAL,NOISE_SCQ_T,0,sum,1,"[""MEAS_CCI_INDEX""]",none,N/A,floor,require,N/A,v1.0,1,Sangha2003,Oppegaard 2023 patient-specific factor; sample mean 5.5,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_CCI_INDEX,Charlson Comorbidity Index,CCI-index,INST_CCI,NODE_EXO_COMORBIDITY,total_score,weighted_index,0,37,lower_better,N/A,N/A,-1.0,37.0,0.85,inter_rater,validated_in_cancer,1.0,N/A,N/A,N/A,Medical inpatients (Charlson 1987),NORM_CCI_GENERAL,NOISE_CCI_T,0,sum,0,"[""MEAS_SCQ_TOTAL""]",none,N/A,floor,optional,N/A,v1.0,1,Charlson1987,Weighted sum of 19 conditions; alternative to SCQ,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_NEO_NEUROTICISM,NEO-FFI Neuroticism Score,NEO-N,INST_NEO_FFI,NODE_BEH_STRESS_MGMT,total_score,points_0_48,0,48,lower_better,N/A,N/A,-1.0,48.0,0.86,internal_consistency,used_in_cancer,1.1,N/A,N/A,N/A,US adults (Costa & McCrae 1992),NORM_NEO_US,NOISE_NEO_N_T,0,sum,1,[],none,N/A,none,optional,N/A,v1.0,1,Costa1992,"Oppegaard 2023 patient-specific factor; sample mean 15.1; trait measure, stable",A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_MAX2_INDEX,MAX2 Chemotherapy Toxicity Index,MAX2-idx,INST_MAX2,NODE_EXO_CHEMO_REGIMEN,total_score,index_0_1,0,1,lower_better,N/A,N/A,-1.0,1.0,0.9,inter_rater,validated_in_cancer,1.0,N/A,N/A,N/A,ECOG trials (Extermann 2004),NORM_MAX2_ECOG,NOISE_MAX2_T,0,last,1,[],none,N/A,floor,require,N/A,v1.0,1,Extermann2004,"Oppegaard 2023 treatment factor; sample mean 0.17; regimen-level, not patient-level",A_verified: clinical record extraction; ranges definitional
MEAS_IPAQ_TOTAL_MET,IPAQ Total MET-minutes/week,IPAQ-MET,INST_IPAQ,NODE_BEH_PHYSICAL_ACTIVITY,total_score,MET_min_week,0,99999,higher_better,600,below,1.0,0.0,0.8,test_retest,used_in_cancer,1.1,N/A,N/A,N/A,26-country validation (Craig 2003),NORM_IPAQ_INTL,NOISE_IPAQ_T,7,sum,1,"[""MEAS_GLTEQ_LSI"", ""MEAS_ACCEL_STEPS""]",moderate,500.0,floor,require,1,v1.0,1,Craig2003,"<600 low, 600-3000 moderate, >3000 high activity level",A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_GLTEQ_LSI,GLTEQ Leisure Score Index,GLTEQ-LSI,INST_GLTEQ,NODE_BEH_PHYSICAL_ACTIVITY,total_score,leisure_units,0,999,higher_better,24,below,1.0,0.0,0.74,test_retest,validated_in_cancer,1.0,N/A,N/A,N/A,Cancer exercise studies (Godin 1985),NORM_GLTEQ_CANCER,NOISE_GLTEQ_T,7,sum,0,"[""MEAS_IPAQ_TOTAL_MET"", ""MEAS_ACCEL_STEPS""]",moderate,5.0,floor,optional,1,v1.0,1,Godin1985,"<14 insufficiently active, 14-23 moderate, ≥24 active",A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
