instrument_id,instrument_name,instrument_short,instrument_type,maps_to_node_id,maps_to_node_ids_json,scoring_direction,response_type,item_count,subscale_count,subscale_names_json,total_score_range_min,total_score_range_max,time_window_days,administration_minutes,loading_b_k,intercept_a_k,reliability_alpha,reliability_type,cancer_validation_status,se_multiplier,clinical_cutoff_value,clinical_cutoff_direction,normative_population,tier_assignment,norm_id,noise_id,language,citation_key,administration_mode,somatic_confound_risk,version,active,notes
INST_BPI,Brief Pain Inventory,BPI,PRO,NODE_SYM_PAIN,"[""NODE_SYM_PAIN""]",lower_better,nrs,15,2,"[""pain_severity"", ""pain_interference""]",0,10,1,5,-1.0,10.0,0.91,internal_consistency,validated_in_cancer,1.0,4.0,above,Cancer pain patients (Cleeland & Ryan 1994),1,NORM_BPI_CANCER,NOISE_BPI,English,Cleeland1994,self_report,none,v1.0,1,Oppegaard 2023 uses worst pain intensity; severity and interference subscales
INST_PSS,Perceived Stress Scale,PSS,PRO,NODE_BEH_STRESS_MGMT,"[""NODE_BEH_STRESS_MGMT""]",lower_better,likert,10,1,"[""perceived_stress_total""]",0,40,7,5,-1.0,40.0,0.85,internal_consistency,used_in_cancer,1.1,20,above,US adult population (Cohen et al. 1983),N/A,NORM_PSS_US,NOISE_PSS,English,Cohen1983,self_report,none,v1.0,1,Oppegaard 2023 patient-specific factor indicator; global perceived stress over past week
INST_IES_R,Impact of Event Scale-Revised,IES-R,PRO,NODE_BEH_STRESS_MGMT,"[""NODE_BEH_STRESS_MGMT"", ""NODE_SYM_ANXIETY""]",lower_better,likert,22,3,"[""intrusion"", ""avoidance"", ""hyperarousal""]",0,88,7,10,-1.0,88.0,0.96,internal_consistency,validated_in_cancer,1.0,24,above,Trauma-exposed adults (Weiss & Marmar 1997),N/A,NORM_IESR_TRAUMA,NOISE_IES_R,English,Weiss1997,self_report,low,v1.0,1,Oppegaard 2023 patient-specific factor indicator; cancer-specific stress; cutoff >24
INST_LSC_R,Life Stressor Checklist-Revised,LSC-R,PRO,NODE_BEH_STRESS_MGMT,"[""NODE_BEH_STRESS_MGMT""]",lower_better,binary,30,1,"[""lifetime_stressor_count""]",0,30,0,15,-1.0,30.0,0.8,test_retest,used_in_cancer,1.1,N/A,N/A,PTSD research samples (Wolfe & Kimerling 1997),N/A,NORM_LSCR_GENERAL,NOISE_LSC_R,English,Wolfe1997,self_report,none,v1.0,1,Oppegaard 2023 SDOH indicator; lifetime trauma exposure index; sum of endorsed events
INST_CDRISC,Connor-Davidson Resilience Scale,CD-RISC,PRO,NODE_BEH_STRESS_MGMT,"[""NODE_BEH_STRESS_MGMT"", ""NODE_BEH_SELF_EFFICACY""]",higher_better,likert,10,1,"[""resilience_total""]",0,40,30,5,1.0,0.0,0.89,internal_consistency,used_in_cancer,1.1,N/A,N/A,US general population (Connor & Davidson 2003),N/A,NORM_CDRISC_US,NOISE_CDRISC,English,Connor2003,self_report,none,v1.0,1,Oppegaard 2023 SDOH indicator; 10-item version; higher = more resilience
INST_KPS,Karnofsky Performance Status,KPS,clinician_rated,NODE_SYM_DECONDITIONING,"[""NODE_SYM_DECONDITIONING""]",higher_better,ordinal,1,1,"[""functional_status""]",10,100,0,2,1.0,0.0,0.85,inter_rater,validated_in_cancer,1.0,80,below,Oncology standard (Karnofsky et al. 1948),N/A,NORM_KPS_CANCER,NOISE_KPS,English,Karnofsky1948,clinician,none,v1.0,1,Oppegaard 2023 patient-specific factor; 10-100 decile scale; sample mean 80
INST_SCQ,Self-Administered Comorbidity Questionnaire,SCQ,PRO,NODE_EXO_COMORBIDITY,"[""NODE_EXO_COMORBIDITY""]",lower_better,ordinal,12,1,"[""comorbidity_burden""]",0,36,0,5,-1.0,36.0,0.84,test_retest,validated_in_cancer,1.0,N/A,N/A,Surgical patients (Sangha et al. 2003),N/A,NORM_SCQ_GENERAL,NOISE_SCQ,English,Sangha2003,self_report,none,v1.0,1,Oppegaard 2023 patient-specific factor; 12 conditions × 3 (present/treated/limiting)
INST_CCI,Charlson Comorbidity Index,CCI,clinician_rated,NODE_EXO_COMORBIDITY,"[""NODE_EXO_COMORBIDITY""]",lower_better,ordinal,19,1,"[""comorbidity_index""]",0,37,0,5,-1.0,37.0,0.85,inter_rater,validated_in_cancer,1.0,N/A,N/A,Medical inpatients (Charlson et al. 1987),N/A,NORM_CCI_GENERAL,NOISE_CCI,English,Charlson1987,clinician,none,v1.0,1,Alternative to SCQ; weighted sum of 19 conditions
INST_NEO_FFI,NEO Five Factor Inventory — Neuroticism,NEO-FFI-N,PRO,NODE_BEH_STRESS_MGMT,"[""NODE_BEH_STRESS_MGMT""]",lower_better,likert,12,1,"[""neuroticism""]",0,48,0,5,-1.0,48.0,0.86,internal_consistency,used_in_cancer,1.1,N/A,N/A,US adults (Costa & McCrae 1992),N/A,NORM_NEO_US,NOISE_NEO_N,English,Costa1992,self_report,none,v1.0,1,Oppegaard 2023 patient-specific factor; neuroticism domain only from 60-item NEO-FFI
INST_MAX2,MAX2 Chemotherapy Toxicity Index,MAX2,clinical_record,NODE_EXO_CHEMO_REGIMEN,"[""NODE_EXO_CHEMO_REGIMEN""]",lower_better,continuous,1,1,"[""toxicity_index""]",0,1,0,0,-1.0,1.0,0.9,inter_rater,validated_in_cancer,1.0,N/A,N/A,ECOG clinical trials (Extermann et al. 2004),N/A,NORM_MAX2_ECOG,NOISE_MAX2,English,Extermann2004,computed,none,v1.0,1,Oppegaard 2023 treatment factor; average of most frequent G4 heme + G3-4 non-heme; sample mean 0.17
INST_IPAQ,International Physical Activity Questionnaire,IPAQ,PRO,NODE_BEH_PHYSICAL_ACTIVITY,"[""NODE_BEH_PHYSICAL_ACTIVITY""]",higher_better,ordinal,7,3,"[""vigorous_MET"", ""moderate_MET"", ""walking_MET""]",0,99999,7,5,1.0,0.0,0.8,test_retest,used_in_cancer,1.1,600,below,26-country validation (Craig et al. 2003),1,NORM_IPAQ_INTL,NOISE_IPAQ,English,Craig2003,self_report,moderate,v1.0,1,"MET-minutes/week; <600 low, 600-3000 moderate, >3000 high"
INST_GLTEQ,Godin Leisure Time Exercise Questionnaire,GLTEQ,PRO,NODE_BEH_PHYSICAL_ACTIVITY,"[""NODE_BEH_PHYSICAL_ACTIVITY""]",higher_better,continuous,3,1,"[""leisure_score_index""]",0,999,7,2,1.0,0.0,0.74,test_retest,validated_in_cancer,1.0,24,below,Cancer exercise studies (Godin & Shephard 1985),1,NORM_GLTEQ_CANCER,NOISE_GLTEQ,English,Godin1985,self_report,moderate,v1.0,1,"Weekly leisure activity score; <14 insufficiently active, 14-23 moderately, ≥24 active"
INST_6MWT,Six-Minute Walk Test,6MWT,clinician_rated,NODE_SYM_DECONDITIONING,"[""NODE_SYM_DECONDITIONING""]",higher_better,continuous,1,1,"[""walk_distance_meters""]",0,900,0,10,1.0,0.0,0.95,test_retest,used_in_cancer,1.1,400,below,Pulmonary/cardiac rehabilitation (ATS 2002),N/A,NORM_6MWT_AGE,NOISE_6MWT,English,ATS2002,clinician,none,v1.0,1,Distance in meters; <400m clinically significant impairment; age/sex/height adjusted
INST_ACCEL,Wrist Accelerometry,Actigraphy,wearable,NODE_BEH_PHYSICAL_ACTIVITY,"[""NODE_BEH_PHYSICAL_ACTIVITY"", ""NODE_BEH_SLEEP_QUALITY"", ""NODE_BEH_LIGHT_EXPOSURE""]",higher_better,continuous,1,4,"[""steps_per_day"", ""MVPA_minutes"", ""sleep_efficiency"", ""total_sleep_time""]",0,99999,7,0,1.0,0.0,0.9,test_retest,used_in_cancer,1.1,N/A,N/A,Device-specific norms; cancer activity studies,1,NORM_ACCEL_GENERAL,NOISE_ACCEL,N/A,vanHees2015,wearable,none,v1.0,1,Objective PA and sleep; 7-day wear minimum; multi-node mapping via subscales
INST_MED_DIET,Mediterranean Diet Adherence Score,MedDiet,PRO,NODE_BEH_DIET,"[""NODE_BEH_DIET""]",higher_better,ordinal,14,1,"[""diet_adherence_score""]",0,14,7,5,1.0,0.0,0.75,test_retest,general_population,1.3,9,below,PREDIMED cohort (Martinez-Gonzalez et al. 2012),N/A,NORM_MEDDIET_PRED,NOISE_MEDDIET,English,MartinezGonzalez2012,self_report,none,v1.0,1,14-item screener; ≥9 good adherence; general population validation only
INST_LSNS,Lubben Social Network Scale,LSNS-6,PRO,NODE_BEH_SOCIAL_ENGAGE,"[""NODE_BEH_SOCIAL_ENGAGE""]",higher_better,ordinal,6,2,"[""family_network"", ""friends_network""]",0,30,30,3,1.0,0.0,0.83,internal_consistency,used_in_cancer,1.1,12,below,Community-dwelling older adults (Lubben et al. 2006),N/A,NORM_LSNS_ELDERLY,NOISE_LSNS,English,Lubben2006,self_report,none,v1.0,1,6-item abbreviated; <12 at risk for social isolation; each subscale 0-15
INST_GSES,General Self-Efficacy Scale,GSES,PRO,NODE_BEH_SELF_EFFICACY,"[""NODE_BEH_SELF_EFFICACY""]",higher_better,likert,10,1,"[""self_efficacy_total""]",10,40,0,3,1.0,0.0,0.86,internal_consistency,used_in_cancer,1.1,N/A,N/A,International norms (Schwarzer & Jerusalem 1995),N/A,NORM_GSES_INTL,NOISE_GSES,English,Schwarzer1995,self_report,none,v1.0,1,10-40 range; higher = greater self-efficacy; cross-cultural validation
INST_EORTC_C30,EORTC QLQ-C30,EORTC-C30,PRO,NODE_SYM_APPETITE,"[""NODE_SYM_FATIGUE"", ""NODE_SYM_PAIN"", ""NODE_SYM_APPETITE"", ""NODE_SYM_DECONDITIONING""]",higher_better,likert,30,9,"[""global_health"", ""physical_function"", ""role_function"", ""emotional_function"", ""cognitive_function"", ""social_function"", ""fatigue"", ""nausea_vomiting"", ""pain""]",0,100,7,12,1.0,0.0,0.89,internal_consistency,validated_in_cancer,1.0,N/A,N/A,International cancer patients (Aaronson et al. 1993),N/A,NORM_EORTC_CANCER,NOISE_EORTC,English,Aaronson1993,self_report,moderate,v1.0,1,9 subscales + global; function scales higher=better; symptom scales higher=worse; nausea/appetite items
INST_NRS_PAIN,Numeric Rating Scale — Pain,NRS-Pain,PRO,NODE_SYM_PAIN,"[""NODE_SYM_PAIN""]",lower_better,nrs,1,1,"[""pain_intensity""]",0,10,1,1,-1.0,10.0,0.95,test_retest,validated_in_cancer,1.0,4,above,Cancer pain validation (Breivik et al. 2008),N/A,NORM_NRS_CANCER,NOISE_NRS_PAIN,English,Breivik2008,self_report,none,v1.0,1,"Single-item 0-10 NRS; ≥4 moderate, ≥7 severe; simplest pain measure"
INST_PHQ2,Patient Health Questionnaire-2,PHQ-2,PRO,NODE_SYM_DEPRESSION,"[""NODE_SYM_DEPRESSION""]",lower_better,likert,2,1,"[""depression_screen""]",0,6,14,1,-1.0,6.0,0.83,internal_consistency,validated_in_cancer,1.0,3,above,Primary care (Kroenke et al. 2003),N/A,NORM_PHQ2_GENERAL,NOISE_PHQ2,English,Kroenke2003,self_report,moderate,v1.0,1,Ultra-brief depression screen; ≥3 positive; active treatment use per architecture
INST_IL6_PLASMA,Interleukin-6 Plasma ELISA,IL-6,biomarker_assay,NODE_BIO_IL6,"[""NODE_BIO_IL6""]",lower_better,continuous,1,1,"[""il6_concentration""]",0,100,0,0,-1.0,0.0,0.92,assay_cv,validated_in_cancer,1.0,3.0,above,Healthy adult reference: <3.0 pg/mL,1,NORM_IL6_HEALTHY,NOISE_IL6,N/A,Ridker2000,laboratory,none,v1.0,1,pg/mL; hs-ELISA; fasting plasma preferred; CV <10%
INST_CRP_HS,High-Sensitivity C-Reactive Protein,hs-CRP,biomarker_assay,NODE_BIO_CRP,"[""NODE_BIO_CRP""]",lower_better,continuous,1,1,"[""crp_concentration""]",0,200,0,0,-1.0,0.0,0.95,assay_cv,validated_in_cancer,1.0,3.0,above,"Cardiovascular risk: <1 low, 1-3 moderate, >3 high mg/L",1,NORM_CRP_CV,NOISE_CRP,N/A,Ridker2003,laboratory,none,v1.0,1,mg/L; immunoturbidimetric; serum; CV <5%; exclude if >10 (acute infection)
INST_TNF_PLASMA,Tumor Necrosis Factor Alpha Plasma ELISA,TNF-α,biomarker_assay,NODE_BIO_TNF,"[""NODE_BIO_TNF""]",lower_better,continuous,1,1,"[""tnf_concentration""]",0,100,0,0,-1.0,0.0,0.9,assay_cv,validated_in_cancer,1.0,N/A,N/A,Healthy adult reference typically <8.1 pg/mL,2,NORM_TNF_HEALTHY,NOISE_TNF,N/A,Robak1998,laboratory,none,v1.0,1,pg/mL; hs-ELISA; plasma; CV <10%; less stable than IL-6/CRP
INST_BDNF_PLASMA,Brain-Derived Neurotrophic Factor Plasma ELISA,BDNF,biomarker_assay,NODE_BIO_BDNF,"[""NODE_BIO_BDNF""]",higher_better,continuous,1,1,"[""bdnf_concentration""]",0,50000,0,0,1.0,0.0,0.88,assay_cv,validated_in_cancer,1.0,N/A,N/A,Healthy adults plasma BDNF (wide range); fasting morning preferred,2,NORM_BDNF_HEALTHY,NOISE_BDNF,N/A,Fernandes2015,laboratory,none,v1.0,1,pg/mL; ELISA; PLASMA not serum (critical); fasting AM; CV ~10-15%
INST_CORTISOL_SLOPE,Salivary Cortisol Diurnal Slope,Cortisol-slope,biomarker_assay,NODE_BIO_CORTISOL,"[""NODE_BIO_CORTISOL""]",lower_better,continuous,4,1,"[""diurnal_slope""]",-0.5,0,0,0,-1.0,0.0,0.8,test_retest,validated_in_cancer,1.0,-0.09,above,Healthy adults: steeper (more negative) slope is healthier,2,NORM_CORTISOL_HEALTHY,NOISE_CORTISOL,N/A,Adam2006,laboratory,none,v1.0,1,"μg/dL slope; 4 timepoints: wake, +30min, +8h, bedtime; ≥2 days; flatter = worse"
INST_P16_TCELL,p16^INK4a T-Cell Expression,p16,biomarker_assay,NODE_BIO_P16,"[""NODE_BIO_P16""]",lower_better,continuous,1,1,"[""p16_expression""]",0,100,0,0,-1.0,0.0,0.85,assay_cv,validated_in_cancer,1.0,N/A,N/A,Age-adjusted norms (Sanoff et al. 2014),2,NORM_P16_AGE,NOISE_P16,N/A,Sanoff2014,laboratory,none,v1.0,1,Relative expression units; T-cell flow cytometry or qRT-PCR; increases with biological aging
