edge_relation_id,source_node_id,target_node_id,relation_type,mechanism_description,primary_pathway,secondary_pathways_json,expected_sign,functional_form,fallback_form,is_feedback_edge,feedback_loop_id,notes,version,active
ER_CHEMO_GH2AX,NODE_EXO_CHEMO_REGIMEN,NODE_BIO_GH2AX,causal,Alkylating agents and platinum compounds directly cause DNA double-strand breaks detectable via γ-H2AX,PW_M07_DNA_DAMAGE,[],positive,linear,linear,0,N/A,N/A,1,1
ER_RADIATION_GH2AX,NODE_EXO_RADIATION,NODE_BIO_GH2AX,causal,Ionizing radiation directly induces DNA double-strand breaks in lymphocytes and potentially neural tissue,PW_M07_DNA_DAMAGE,[],positive,linear,linear,0,N/A,N/A,1,1
ER_CHEMO_8OHDG,NODE_EXO_CHEMO_REGIMEN,NODE_BIO_8OHDG,causal,Chemotherapy generates reactive oxygen species causing oxidative DNA damage (8-OHdG),PW_M02_OXIDATIVE_STRESS,[],positive,linear,linear,0,N/A,N/A,1,1
ER_CHEMO_MDA,NODE_EXO_CHEMO_REGIMEN,NODE_BIO_MDA,causal,Chemotherapy-induced ROS cause lipid peroxidation producing malondialdehyde,PW_M02_OXIDATIVE_STRESS,[],positive,linear,linear,0,N/A,N/A,1,1
ER_CHEMO_P16,NODE_EXO_CHEMO_REGIMEN,NODE_BIO_P16,causal,Chemotherapy induces cellular senescence with p16^INK4a accumulation in T-cells; anthracyclines have strongest effect,PW_M09_SENESCENCE,[],positive,linear,linear,0,N/A,N/A,1,1
ER_CHEMO_CORTISOL,NODE_EXO_CHEMO_REGIMEN,NODE_BIO_CORTISOL,causal,"Chemotherapy and dexamethasone premedication disrupt HPA axis, flattening cortisol diurnal slope",PW_M03_HPA_DYSREGULATION,[],positive,linear,linear,0,N/A,POS_DOWN orientation: positive sign means chemo increases cortisol dysregulation,1,1
ER_CHEMO_SHANNON,NODE_EXO_CHEMO_REGIMEN,NODE_BIO_SHANNON,causal,Chemotherapy disrupts gut microbiome diversity via mucosal damage and associated antibiotic use,PW_M08_GUT_BRAIN,[],negative,linear,linear,0,N/A,POS_UP orientation: negative sign means chemo REDUCES Shannon diversity,1,1
ER_CHEMO_GLUCOSE,NODE_EXO_CHEMO_REGIMEN,NODE_BIO_GLUCOSE,causal,Dexamethasone premedication and some regimens (mTOR inhibitors) elevate fasting glucose and insulin resistance,PW_M13_METABOLIC,[],positive,linear,linear,0,N/A,N/A,1,1
ER_CHEMO_NFL,NODE_EXO_CHEMO_REGIMEN,NODE_BIO_NFL,mechanistic,Chemotherapy may cause axonal damage detectable via plasma NfL; confounded by peripheral neuropathy,PW_M14_BBB,[],positive,linear,linear,0,N/A,Low confidence edge — NfL elevation may reflect PNS not CNS damage,1,1
ER_RADIATION_NFL,NODE_EXO_RADIATION,NODE_BIO_NFL,mechanistic,Cranial radiation causes direct neuronal damage with NfL release; stronger evidence than chemotherapy,PW_M14_BBB,[],positive,linear,linear,0,N/A,N/A,1,1
ER_AGE_BDNF,NODE_EXO_AGE,NODE_BIO_BDNF,associational,"Plasma BDNF declines with age, reducing neuroplasticity capacity; age-dependent exercise response",PW_M04_NEUROPLASTICITY,[],negative,linear,linear,0,N/A,Grade B modifier: age attenuates exercise→BDNF response,1,1
ER_CHEMO_MYELIN,NODE_EXO_CHEMO_REGIMEN,NODE_PATH_MYELIN,causal,Chemotherapy directly toxic to oligodendrocyte precursor cells causing demyelination; methotrexate and 5-FU strongest,PW_M16_MYELIN,[],negative,linear,linear,0,N/A,POS_UP target: negative sign means chemo reduces myelin integrity,1,1
ER_CHEMO_EPIGENETIC,NODE_EXO_CHEMO_REGIMEN,NODE_PATH_EPIGENETIC,mechanistic,Chemotherapy induces DNA methylation changes in gene promoters affecting neural gene expression,PW_M12_EPIGENETIC,[],positive,linear,linear,0,N/A,N/A,1,1
ER_CHEMO_DOPAMINE,NODE_EXO_CHEMO_REGIMEN,NODE_PATH_DOPAMINERGIC,mechanistic,Chemotherapy may disrupt dopamine synthesis and receptor sensitivity in striatal circuits,PW_M17_DOPAMINERGIC,[],negative,linear,linear,0,N/A,N/A,1,1
ER_RADIATION_BBB,NODE_EXO_RADIATION,NODE_PATH_BBB,causal,Cranial/head-neck radiation damages BBB endothelial tight junctions increasing permeability,PW_M14_BBB,[],positive,linear,linear,0,N/A,N/A,1,1
ER_ACTIVITY_IL6,NODE_BEH_PHYSICAL_ACTIVITY,NODE_BIO_IL6,causal,Regular exercise reduces chronic IL-6 through anti-inflammatory myokine release and reduced adiposity,PW_M01_NEUROINFLAMMATION,[],negative,hill,linear,0,N/A,Dose-response: Emax model. Exercise (POS_UP) reduces IL-6 (POS_DOWN) → negative sign,1,1
ER_ACTIVITY_CRP,NODE_BEH_PHYSICAL_ACTIVITY,NODE_BIO_CRP,causal,Regular exercise reduces CRP via reduced visceral adiposity and anti-inflammatory signaling,PW_M01_NEUROINFLAMMATION,[],negative,hill,linear,0,N/A,N/A,1,1
ER_ACTIVITY_BDNF,NODE_BEH_PHYSICAL_ACTIVITY,NODE_BIO_BDNF,causal,Aerobic exercise increases plasma BDNF via muscle-brain cross-talk (irisin/FNDC5 pathway),PW_M04_NEUROPLASTICITY,[],positive,hill,linear,0,N/A,"EC50 ~200 MET-min/wk for aerobic. APOE e4 moderates (Grade A, Pearce 2022)",1,1
ER_ACTIVITY_CORTISOL,NODE_BEH_PHYSICAL_ACTIVITY,NODE_BIO_CORTISOL,causal,Regular exercise normalizes cortisol diurnal slope via HPA axis regulation,PW_M03_HPA_DYSREGULATION,[],negative,hill,linear,0,N/A,"Reduces cortisol dysregulation (POS_DOWN), so negative sign",1,1
ER_ACTIVITY_GLUCOSE,NODE_BEH_PHYSICAL_ACTIVITY,NODE_BIO_GLUCOSE,causal,Exercise improves insulin sensitivity and reduces fasting glucose via GLUT4 translocation,PW_M13_METABOLIC,[],negative,hill,linear,0,N/A,N/A,1,1
ER_ACTIVITY_8OHDG,NODE_BEH_PHYSICAL_ACTIVITY,NODE_BIO_8OHDG,associational,Regular exercise upregulates endogenous antioxidant defenses reducing oxidative DNA damage,PW_M02_OXIDATIVE_STRESS,[],negative,linear,linear,0,N/A,N/A,1,1
ER_DIET_IL6,NODE_BEH_DIET,NODE_BIO_IL6,associational,Mediterranean and anti-inflammatory dietary patterns associated with lower IL-6 levels,PW_M01_NEUROINFLAMMATION,[],negative,linear,linear,0,N/A,N/A,1,1
ER_DIET_SHANNON,NODE_BEH_DIET,NODE_BIO_SHANNON,associational,"High-fiber, diverse diet associated with greater gut microbiome diversity",PW_M08_GUT_BRAIN,[],positive,linear,linear,0,N/A,N/A,1,1
ER_DIET_GLUCOSE,NODE_BEH_DIET,NODE_BIO_GLUCOSE,associational,Mediterranean diet improves glycemic control and insulin sensitivity,PW_M13_METABOLIC,[],negative,linear,linear,0,N/A,N/A,1,1
ER_DIET_MDA,NODE_BEH_DIET,NODE_BIO_MDA,associational,Antioxidant-rich diet reduces lipid peroxidation (MDA levels),PW_M02_OXIDATIVE_STRESS,[],negative,linear,linear,0,N/A,N/A,1,1
ER_STRESS_CORTISOL,NODE_BEH_STRESS_MGMT,NODE_BIO_CORTISOL,causal,MBSR and relaxation practices restore cortisol diurnal rhythm steepness via HPA axis regulation,PW_M03_HPA_DYSREGULATION,[],negative,hill,linear,0,N/A,Stress management (POS_UP) reduces cortisol dysregulation (POS_DOWN) → negative sign,1,1
ER_STRESS_IL6,NODE_BEH_STRESS_MGMT,NODE_BIO_IL6,associational,Mindfulness practice associated with reduced inflammatory markers via vagal tone and HPA normalization,PW_M01_NEUROINFLAMMATION,"[""PW_M03_HPA_DYSREGULATION""]",negative,linear,linear,0,N/A,N/A,1,1
ER_SLEEP_CORTISOL,NODE_BEH_SLEEP_QUALITY,NODE_BIO_CORTISOL,causal,Good sleep quality supports normal cortisol diurnal rhythm; sleep deprivation flattens slope,PW_C1_SLEEP,"[""PW_M03_HPA_DYSREGULATION""]",negative,linear,linear,0,N/A,N/A,1,1
ER_COGACTIVITY_BDNF,NODE_BEH_COG_ACTIVITY,NODE_BIO_BDNF,mechanistic,Cognitive stimulation may upregulate BDNF via activity-dependent neural signaling; less robust than exercise,PW_M04_NEUROPLASTICITY,[],positive,linear,linear,0,N/A,Weaker evidence than exercise→BDNF; primarily animal model support,1,1
ER_SLEEP_GLYMPHATIC,NODE_BEH_SLEEP_QUALITY,NODE_PATH_GLYMPHATIC,mechanistic,Sleep quality directly modulates glymphatic clearance; slow-wave sleep optimizes interstitial fluid dynamics,PW_M10_GLYMPHATIC,[],positive,linear,linear,0,N/A,N/A,1,1
ER_ACTIVITY_NEUROPLAST,NODE_BEH_PHYSICAL_ACTIVITY,NODE_PATH_NEUROPLASTICITY,causal,"Exercise enhances neuroplasticity via BDNF-TrkB signaling, synaptic potentiation, and dendritic complexity",PW_M04_NEUROPLASTICITY,[],positive,hill,linear,0,N/A,N/A,1,1
ER_COGACTIVITY_SYNAPTIC,NODE_BEH_COG_ACTIVITY,NODE_PATH_SYNAPTIC,mechanistic,Cognitive training strengthens synaptic connections via use-dependent plasticity and LTP,PW_M15_SYNAPTIC,[],positive,linear,linear,0,N/A,N/A,1,1
ER_LIGHT_SLEEP,NODE_BEH_LIGHT_EXPOSURE,NODE_SYM_SLEEP_DISRUPTION,causal,"Morning bright light exposure entrains circadian rhythm, reducing sleep disruption severity",PW_C1_SLEEP,[],negative,threshold,linear,0,N/A,Threshold model: effect at >=20 min/day. Light (POS_UP) reduces disruption (POS_DOWN) → negative,1,1
ER_IL6_OIC,NODE_BIO_IL6,NODE_PATH_OIC,causal,"IL-6 drives neuroinflammation via BBB transport, microglial activation, and tryptophan-kynurenine pathway",PW_M01_NEUROINFLAMMATION,[],positive,linear,linear,0,N/A,N/A,1,1
ER_CRP_OIC,NODE_BIO_CRP,NODE_PATH_OIC,associational,CRP reflects systemic inflammatory state; less direct mechanistic link to CNS than IL-6,PW_M01_NEUROINFLAMMATION,[],positive,linear,linear,0,N/A,N/A,1,1
ER_TNF_OIC,NODE_BIO_TNF,NODE_PATH_OIC,causal,TNF-α crosses BBB and activates microglial neuroinflammatory cascade; induces ROS production,PW_M01_NEUROINFLAMMATION,"[""PW_M02_OXIDATIVE_STRESS""]",positive,linear,linear,0,N/A,N/A,1,1
ER_8OHDG_OIC,NODE_BIO_8OHDG,NODE_PATH_OIC,associational,Oxidative DNA damage marker reflects oxidative stress component of OIC composite,PW_M02_OXIDATIVE_STRESS,[],positive,linear,linear,0,N/A,N/A,1,1
ER_MDA_OIC,NODE_BIO_MDA,NODE_PATH_OIC,associational,Lipid peroxidation marker reflects oxidative stress component of OIC composite,PW_M02_OXIDATIVE_STRESS,[],positive,linear,linear,0,N/A,N/A,1,1
ER_BDNF_NEUROPLAST,NODE_BIO_BDNF,NODE_PATH_NEUROPLASTICITY,causal,"BDNF binds TrkB receptors promoting synaptic plasticity, LTP, and dendritic growth",PW_M04_NEUROPLASTICITY,[],positive,linear,linear,0,N/A,N/A,1,1
ER_BDNF_NEUROGENESIS,NODE_BIO_BDNF,NODE_PATH_NEUROGENESIS,causal,BDNF promotes adult hippocampal neurogenesis via TrkB-mediated progenitor cell proliferation and survival,PW_M05_NEUROGENESIS,[],positive,linear,linear,0,N/A,N/A,1,1
ER_CORTISOL_HPA,NODE_BIO_CORTISOL,NODE_PATH_HPA,causal,Flattened cortisol slope is primary indicator of HPA dysregulation; reflects chronic stress burden,PW_M03_HPA_DYSREGULATION,[],positive,linear,linear,0,N/A,Both POS_DOWN: higher cortisol dysregulation → more HPA dysregulation → positive sign,1,1
ER_P16_SENESCENCE,NODE_BIO_P16,NODE_PATH_SENESCENCE,causal,p16^INK4a expression directly quantifies senescent cell burden; drives SASP and inflammatory aging,PW_M09_SENESCENCE,[],positive,linear,linear,0,N/A,N/A,1,1
ER_GH2AX_DNA,NODE_BIO_GH2AX,NODE_PATH_DNA_DAMAGE,causal,γ-H2AX foci directly mark DNA double-strand breaks; persistent foci indicate failed repair → senescence,PW_M07_DNA_DAMAGE,[],positive,linear,linear,0,N/A,N/A,1,1
ER_SHANNON_GUTBRAIN,NODE_BIO_SHANNON,NODE_PATH_GUT_BRAIN,associational,Reduced microbiome diversity (dysbiosis) increases intestinal permeability and systemic immune activation,PW_M08_GUT_BRAIN,[],negative,linear,linear,0,N/A,Shannon (POS_UP) to gut-brain dysfunction (POS_DOWN): lower diversity → more dysfunction → negative,1,1
ER_GLUCOSE_METABOLIC,NODE_BIO_GLUCOSE,NODE_PATH_METABOLIC,causal,Elevated fasting glucose indicates insulin resistance → impaired cerebral glucose metabolism,PW_M13_METABOLIC,[],positive,linear,linear,0,N/A,N/A,1,1
ER_NFL_BBB,NODE_BIO_NFL,NODE_PATH_BBB,associational,"Elevated NfL suggests neuronal/axonal damage, potentially from BBB disruption allowing neurotoxin entry",PW_M14_BBB,[],positive,linear,linear,0,N/A,Low-specificity proxy — cannot distinguish CNS from PNS NfL source,1,1
ER_NFL_MYELIN,NODE_BIO_NFL,NODE_PATH_MYELIN,associational,NfL elevation may reflect demyelination-related axonal damage from oligodendrocyte toxicity,PW_M16_MYELIN,[],negative,linear,linear,0,N/A,"NfL (POS_DOWN, higher = more damage) → myelin (POS_UP): more damage → less integrity → negative",1,1
ER_IL6_BDNF_CROSS,NODE_BIO_IL6,NODE_BIO_BDNF,associational,Chronic inflammation suppresses BDNF expression; IL-6 → kynurenine pathway diverts tryptophan from serotonin/BDNF,PW_M01_NEUROINFLAMMATION,"[""PW_M04_NEUROPLASTICITY""]",negative,linear,linear,0,N/A,L2→L2 cross-edge capturing inflammation-neuroplasticity antagonism. Correlation ρ=-0.35,1,1
ER_DNA_SENESCENCE,NODE_PATH_DNA_DAMAGE,NODE_PATH_SENESCENCE,causal,Persistent DNA damage foci activate p53/p21 → p16 senescence program in damaged cells,PW_M07_DNA_DAMAGE,"[""PW_M09_SENESCENCE""]",positive,linear,linear,0,N/A,N/A,1,1
ER_SENESCENCE_OIC,NODE_PATH_SENESCENCE,NODE_PATH_OIC,causal,"Senescent cells secrete SASP (IL-6, TNF-α, MMP) driving chronic inflammation (inflammaging)",PW_M09_SENESCENCE,"[""PW_M01_NEUROINFLAMMATION""]",positive,linear,linear,0,N/A,N/A,1,1
ER_GUTBRAIN_OIC,NODE_PATH_GUT_BRAIN,NODE_PATH_OIC,mechanistic,Dysbiosis → increased intestinal permeability → bacterial LPS translocation → systemic and neuroinflammation,PW_M08_GUT_BRAIN,"[""PW_M01_NEUROINFLAMMATION""]",positive,linear,linear,0,N/A,N/A,1,1
ER_EPIGENETIC_OIC,NODE_PATH_EPIGENETIC,NODE_PATH_OIC,mechanistic,Chemotherapy-induced methylation changes may upregulate inflammatory gene expression,PW_M12_EPIGENETIC,[],positive,linear,linear,0,N/A,N/A,1,1
ER_EPIGENETIC_NEUROPLAST,NODE_PATH_EPIGENETIC,NODE_PATH_NEUROPLASTICITY,mechanistic,Epigenetic changes (BDNF promoter methylation) may suppress neuroplasticity gene expression,PW_M12_EPIGENETIC,[],negative,linear,linear,0,N/A,N/A,1,1
ER_METABOLIC_OIC,NODE_PATH_METABOLIC,NODE_PATH_OIC,associational,Insulin resistance promotes metabolic inflammation (meta-inflammation) amplifying neuroinflammatory cascade,PW_M13_METABOLIC,"[""PW_M01_NEUROINFLAMMATION""]",positive,linear,linear,0,N/A,N/A,1,1
ER_OIC_FATIGUE,NODE_PATH_OIC,NODE_SYM_FATIGUE,causal,Neuroinflammation directly causes cancer-related fatigue via cytokine-mediated sickness behavior,PW_M01_NEUROINFLAMMATION,"[""PW_C2_FATIGUE""]",positive,linear,linear,0,N/A,N/A,1,1
ER_OIC_DEPRESSION,NODE_PATH_OIC,NODE_SYM_DEPRESSION,causal,Chronic inflammation drives depression via tryptophan-kynurenine pathway depleting serotonin precursors,PW_M01_NEUROINFLAMMATION,"[""PW_C3_MOOD""]",positive,linear,linear,0,N/A,N/A,1,1
ER_OIC_PAIN,NODE_PATH_OIC,NODE_SYM_PAIN,causal,Neuroinflammation sensitizes central and peripheral pain pathways (central sensitization),PW_M01_NEUROINFLAMMATION,[],positive,linear,linear,0,N/A,N/A,1,1
ER_HPA_SLEEP,NODE_PATH_HPA,NODE_SYM_SLEEP_DISRUPTION,causal,HPA dysregulation disrupts circadian cortisol rhythm → hyperarousal at night → insomnia,PW_M03_HPA_DYSREGULATION,"[""PW_C1_SLEEP""]",positive,linear,linear,0,N/A,N/A,1,1
ER_HPA_DEPRESSION,NODE_PATH_HPA,NODE_SYM_DEPRESSION,causal,Chronic HPA axis activation → glucocorticoid receptor resistance → depressive symptomatology,PW_M03_HPA_DYSREGULATION,"[""PW_C3_MOOD""]",positive,linear,linear,0,N/A,N/A,1,1
ER_HPA_ANXIETY,NODE_PATH_HPA,NODE_SYM_ANXIETY,causal,HPA dysregulation amplifies amygdala reactivity and anxiety-mediated hypervigilance,PW_M03_HPA_DYSREGULATION,"[""PW_C3_MOOD""]",positive,linear,linear,0,N/A,N/A,1,1
ER_GLYMPHATIC_SLEEP,NODE_PATH_GLYMPHATIC,NODE_SYM_SLEEP_DISRUPTION,mechanistic,Impaired glymphatic clearance may contribute to non-restorative sleep via metabolite accumulation,PW_M10_GLYMPHATIC,"[""PW_C1_SLEEP""]",negative,linear,linear,0,N/A,Better glymphatic (POS_UP) → less sleep disruption (POS_DOWN) → negative,1,1
ER_DOPAMINE_FATIGUE,NODE_PATH_DOPAMINERGIC,NODE_SYM_FATIGUE,mechanistic,Reduced dopaminergic signaling contributes to motivational fatigue and amotivation,PW_M17_DOPAMINERGIC,[],negative,linear,linear,0,N/A,More dopamine function (POS_UP) → less fatigue (POS_DOWN) → negative,1,1
ER_OIC_APPETITE,NODE_PATH_OIC,NODE_SYM_APPETITE,causal,"Inflammatory cytokines drive cachexia, anorexia, and taste alterations",PW_M01_NEUROINFLAMMATION,"[""PW_M08_GUT_BRAIN""]",positive,linear,linear,0,N/A,N/A,1,1
ER_GUTBRAIN_APPETITE,NODE_PATH_GUT_BRAIN,NODE_SYM_APPETITE,mechanistic,"Gut dysbiosis alters appetite-regulating hormones (ghrelin, leptin) and vagal signaling",PW_M08_GUT_BRAIN,[],positive,linear,linear,0,N/A,N/A,1,1
ER_OIC_COGCOMPLAINTS,NODE_PATH_OIC,NODE_SYM_COG_COMPLAINTS,associational,Neuroinflammation may amplify subjective awareness of cognitive difficulties beyond objective deficits,PW_M01_NEUROINFLAMMATION,"[""PW_C3_MOOD""]",positive,linear,linear,0,N/A,N/A,1,1
ER_METABOLIC_DECONDITIONING,NODE_PATH_METABOLIC,NODE_SYM_DECONDITIONING,associational,Metabolic dysregulation (insulin resistance) contributes to reduced cardiorespiratory fitness,PW_M13_METABOLIC,"[""PW_C4_VASCULAR_METABOLIC""]",positive,linear,linear,0,N/A,N/A,1,1
ER_OIC_PROCSPEED,NODE_PATH_OIC,NODE_COG_PROC_SPEED,causal,Neuroinflammation impairs white matter integrity and neural conduction velocity,PW_M01_NEUROINFLAMMATION,"[""PW_M15_SYNAPTIC""]",negative,linear,linear,0,N/A,N/A,1,1
ER_OIC_WORKMEM,NODE_PATH_OIC,NODE_COG_WORK_MEM,causal,Neuroinflammation disrupts prefrontal cortex function affecting working memory maintenance,PW_M01_NEUROINFLAMMATION,[],negative,linear,linear,0,N/A,N/A,1,1
ER_NEUROPLAST_EPISODIC,NODE_PATH_NEUROPLASTICITY,NODE_COG_EPISODIC_MEM,causal,BDNF-mediated plasticity supports hippocampal encoding and consolidation of episodic memories,PW_M04_NEUROPLASTICITY,[],positive,linear,linear,0,N/A,N/A,1,1
ER_NEUROGENESIS_EPISODIC,NODE_PATH_NEUROGENESIS,NODE_COG_EPISODIC_MEM,mechanistic,New hippocampal neurons contribute to pattern separation and memory discrimination,PW_M05_NEUROGENESIS,[],positive,linear,linear,0,N/A,N/A,1,1
ER_SYNAPTIC_PROCSPEED,NODE_PATH_SYNAPTIC,NODE_COG_PROC_SPEED,mechanistic,Synaptic efficiency determines neural processing speed via LTP-maintained circuit integrity,PW_M15_SYNAPTIC,[],positive,linear,linear,0,N/A,N/A,1,1
ER_SYNAPTIC_WORKMEM,NODE_PATH_SYNAPTIC,NODE_COG_WORK_MEM,mechanistic,Working memory depends on sustained synaptic activity in prefrontal persistent firing circuits,PW_M15_SYNAPTIC,[],positive,linear,linear,0,N/A,N/A,1,1
ER_SYNAPTIC_EXEC,NODE_PATH_SYNAPTIC,NODE_COG_EXEC_PLANNING,mechanistic,Executive planning requires coordinated synaptic signaling across frontoparietal networks,PW_M15_SYNAPTIC,[],positive,linear,linear,0,N/A,N/A,1,1
ER_MYELIN_PROCSPEED,NODE_PATH_MYELIN,NODE_COG_PROC_SPEED,causal,Myelination directly determines axonal conduction velocity → processing speed,PW_M16_MYELIN,[],positive,linear,linear,0,N/A,N/A,1,1
ER_MYELIN_VERBAL,NODE_PATH_MYELIN,NODE_COG_VERBAL_FLUENCY,associational,White matter tract integrity supports rapid lexical access required for verbal fluency,PW_M16_MYELIN,[],positive,linear,linear,0,N/A,N/A,1,1
ER_DOPAMINE_INHIBITION,NODE_PATH_DOPAMINERGIC,NODE_COG_EXEC_INHIBITION,mechanistic,Dopaminergic signaling in prefrontal-striatal circuits supports inhibitory control,PW_M17_DOPAMINERGIC,[],positive,linear,linear,0,N/A,N/A,1,1
ER_PAIN_FATIGUE,NODE_SYM_PAIN,NODE_SYM_FATIGUE,causal,Chronic pain directly drives fatigue through central sensitization and sleep interference,PW_C2_FATIGUE,[],positive,linear,linear,0,N/A,N/A,1,1
ER_SLEEP_FATIGUE,NODE_SYM_SLEEP_DISRUPTION,NODE_SYM_FATIGUE,causal,Poor sleep quality directly causes daytime fatigue and reduced cognitive alertness,PW_C1_SLEEP,"[""PW_C2_FATIGUE""]",positive,linear,linear,0,N/A,N/A,1,1
ER_DEPRESSION_COGCOMPLAINTS,NODE_SYM_DEPRESSION,NODE_SYM_COG_COMPLAINTS,causal,Depression amplifies subjective cognitive complaints; CAL covariance structure captures reporting bias,PW_C3_MOOD,[],positive,linear,linear,0,N/A,Part of CAL (Cognitive-Affective Loop) covariance structure,1,1
ER_APPETITE_DECONDITIONING,NODE_SYM_APPETITE,NODE_SYM_DECONDITIONING,associational,Poor nutritional intake from appetite disruption contributes to muscle wasting and deconditioning,PW_M08_GUT_BRAIN,[],positive,linear,linear,0,N/A,N/A,1,1
ER_FATIGUE_ACTIVITY,NODE_SYM_FATIGUE,NODE_BEH_PHYSICAL_ACTIVITY,causal,Fatigue directly reduces physical activity engagement and exercise tolerance,PW_C2_FATIGUE,[],negative,linear,linear,1,LOOP_FATIGUE_ACTIVITY,FEEDBACK EDGE: L4→L1. Part of LOOP_01 (gain=0.16). Fatigue↔Activity strongest loop.,1,1
ER_DEPRESSION_SLEEP,NODE_SYM_DEPRESSION,NODE_BEH_SLEEP_QUALITY,causal,"Depression disrupts sleep architecture, increases insomnia, and reduces sleep hygiene motivation",PW_C3_MOOD,[],negative,linear,linear,1,LOOP_DEPRESSION_SLEEP,FEEDBACK EDGE: L4→L1. Part of LOOP_02 (gain=0.14).,1,1
ER_ANXIETY_SLEEP,NODE_SYM_ANXIETY,NODE_BEH_SLEEP_QUALITY,causal,"Anxiety causes pre-sleep hyperarousal, rumination, and difficulty initiating sleep",PW_C3_MOOD,[],negative,linear,linear,1,LOOP_ANXIETY_SLEEP,FEEDBACK EDGE: L4→L1. Part of LOOP_03 (gain=0.11).,1,1
ER_FATIGUE_SOCIAL,NODE_SYM_FATIGUE,NODE_BEH_SOCIAL_ENGAGE,causal,Fatigue reduces social participation and engagement in group activities,PW_C5_SOCIAL,[],negative,linear,linear,1,UNREGISTERED_PARTIAL_LOOP,FEEDBACK EDGE: L4→L1. Part of C5 social isolation pathway.,1,1
ER_DEPRESSION_SOCIAL,NODE_SYM_DEPRESSION,NODE_BEH_SOCIAL_ENGAGE,causal,"Depression drives social withdrawal, isolation, and reduced interpersonal engagement",PW_C5_SOCIAL,[],negative,linear,linear,1,UNREGISTERED_PARTIAL_LOOP,FEEDBACK EDGE: L4→L1. Part of C5 social isolation pathway.,1,1
ER_FATIGUE_SELFEFFICACY,NODE_SYM_FATIGUE,NODE_BEH_SELF_EFFICACY,causal,Persistent fatigue erodes confidence in ability to engage in health behaviors,PW_M17_DOPAMINERGIC,[],negative,linear,linear,1,UNREGISTERED_PARTIAL_LOOP,FEEDBACK EDGE: L4→L1. Fatigue → reduced self-efficacy → reduced adherence.,1,1
ER_FATIGUE_ATTN,NODE_SYM_FATIGUE,NODE_COG_ATTN_SUSTAINED,causal,Fatigue directly impairs sustained attention and vigilance via reduced cognitive resource availability,PW_C2_FATIGUE,[],negative,linear,linear,0,N/A,N/A,1,1
