pathway_id,pathway_label,pathway_short,pathway_class,tier,evidence_tier_readable,se_multiplier,edge_count,status,entry_node_ids_json,exit_node_ids_json,intermediate_node_ids_json,component_nodes_json,composite_membership,best_proxy_biomarker,proxy_r_squared_qualitative,causal_evidence_level,key_citation,activation_threshold,is_sensitive_pathway,cognitive_domain_specificity_json,notes,version,active
PW_M11_CEREBROVASCULAR,Cerebrovascular Function,Cerebrovascular,mechanistic,mechanistic_placeholder,Moderate,1.25,3,edgeless,"[""NODE_BIO_GLUCOSE"", ""NODE_BEH_PHYSICAL_ACTIVITY""]","[""NODE_COG_PROC_SPEED""]","[""NODE_PATH_CEREBROVASCULAR""]","[""NODE_BIO_GLUCOSE"", ""NODE_BEH_PHYSICAL_ACTIVITY"", ""NODE_PATH_CEREBROVASCULAR"", ""NODE_COG_PROC_SPEED""]",N/A,N/A_NO_PERIPHERAL_PROXY,N/A,plausible,"Kesler et al., 2017 (fMRI evidence)",0.5,0,"{""processing_speed"": 0.6, ""sustained_attention"": 0.4}",EDGELESS PLACEHOLDER. Conceptual pathway without parameterized edges in v1. Would require TCD/MRI perfusion data. Future expansion candidate.,1,1
PW_M12_EPIGENETIC,Epigenetic Modification,Epigenetic,mechanistic,mechanistic_emerging,Low-Moderate,1.75,4,connected,"[""NODE_EXO_CHEMO_REGIMEN""]","[""NODE_PATH_OIC"", ""NODE_PATH_NEUROPLASTICITY""]","[""NODE_PATH_EPIGENETIC""]","[""NODE_EXO_CHEMO_REGIMEN"", ""NODE_PATH_EPIGENETIC"", ""NODE_PATH_OIC"", ""NODE_PATH_NEUROPLASTICITY""]",N/A,N/A_NO_PERIPHERAL_PROXY,N/A,plausible,"Kober et al., 2020; Lengacher et al., 2014 (methylation)",0.5,0,"{""processing_speed"": 0.3, ""episodic_memory"": 0.3}","Chemotherapy-induced methylation changes → altered gene expression in neuronal/glial cells. Modulates other pathways (OIC, neuroplasticity). No validated CNS peripheral proxy.",1,1
PW_M13_METABOLIC,Metabolic Dysregulation,Metabolic,mechanistic,mechanistic_emerging,Moderate,1.25,5,connected,"[""NODE_EXO_COMORBIDITY"", ""NODE_BIO_GLUCOSE"", ""NODE_BEH_DIET""]","[""NODE_PATH_OIC"", ""NODE_COG_PROC_SPEED""]","[""NODE_PATH_METABOLIC""]","[""NODE_EXO_COMORBIDITY"", ""NODE_BIO_GLUCOSE"", ""NODE_BEH_DIET"", ""NODE_PATH_METABOLIC"", ""NODE_PATH_OIC"", ""NODE_COG_PROC_SPEED""]",N/A,NODE_BIO_GLUCOSE,moderate,moderate_association,"Simo et al., 2015; Cheke et al., 2017",0.5,0,"{""processing_speed"": 0.6, ""episodic_memory"": 0.5, ""executive_planning"": 0.4}",Insulin resistance → impaired cerebral glucose metabolism → neuroinflammation. Dexamethasone and hormonal therapy exacerbate. Links to C4 (Vascular/metabolic clinical pathway).,1,1
PW_M14_BBB,Blood-Brain Barrier Disruption,BBB,mechanistic,mechanistic_placeholder,Low-Moderate,1.75,4,edgeless,"[""NODE_EXO_CHEMO_REGIMEN"", ""NODE_EXO_RADIATION""]","[""NODE_PATH_OIC""]","[""NODE_PATH_BBB"", ""NODE_BIO_NFL""]","[""NODE_EXO_CHEMO_REGIMEN"", ""NODE_EXO_RADIATION"", ""NODE_BIO_NFL"", ""NODE_PATH_BBB"", ""NODE_PATH_OIC""]",N/A,NODE_BIO_NFL,low,plausible,"Wardill et al., 2016; Schroyen et al., 2021",0.5,0,"{""processing_speed"": 0.4, ""working_memory"": 0.3}",EDGELESS PLACEHOLDER. BBB permeability allows peripheral inflammatory mediators into CNS. NfL candidate proxy but cannot distinguish CNS from PNS damage.,1,1
PW_M15_SYNAPTIC,Synaptic Function (Convergent Hub),Synaptic,mechanistic,mechanistic_model_implied,Moderate,1.25,8,connected,"[""NODE_PATH_OIC"", ""NODE_PATH_NEUROPLASTICITY"", ""NODE_PATH_METABOLIC""]","[""NODE_COG_PROC_SPEED"", ""NODE_COG_WORK_MEM"", ""NODE_COG_EPISODIC_MEM"", ""NODE_COG_EXEC_PLANNING"", ""NODE_COG_EXEC_INHIBITION"", ""NODE_COG_ATTN_SUSTAINED""]","[""NODE_PATH_SYNAPTIC""]","[""NODE_PATH_OIC"", ""NODE_PATH_NEUROPLASTICITY"", ""NODE_PATH_METABOLIC"", ""NODE_PATH_SYNAPTIC"", ""NODE_COG_PROC_SPEED"", ""NODE_COG_WORK_MEM"", ""NODE_COG_EPISODIC_MEM"", ""NODE_COG_EXEC_PLANNING"", ""NODE_COG_EXEC_INHIBITION"", ""NODE_COG_ATTN_SUSTAINED""]",N/A,N/A_NO_PERIPHERAL_PROXY,N/A,strong_association,"Bhatt et al., 2020; Gibson & Bhatt, 2018",0.5,0,"{""processing_speed"": 0.8, ""working_memory"": 0.8, ""episodic_memory"": 0.7, ""executive_planning"": 0.7, ""executive_inhibition"": 0.6, ""sustained_attention"": 0.7}","CONVERGENT HUB receiving from multiple mechanistic pathways. Final common pathway before cognitive domains. LTP/LTD, synaptic pruning, neurotransmitter balance. No direct peripheral proxy.",1,1
PW_M16_MYELIN,Myelin / Oligodendrocyte Integrity,Myelin,mechanistic,mechanistic_model_implied,Moderate-High,1.15,5,connected,"[""NODE_EXO_CHEMO_REGIMEN""]","[""NODE_COG_PROC_SPEED"", ""NODE_COG_VERBAL_FLUENCY""]","[""NODE_PATH_MYELIN""]","[""NODE_EXO_CHEMO_REGIMEN"", ""NODE_PATH_MYELIN"", ""NODE_COG_PROC_SPEED"", ""NODE_COG_VERBAL_FLUENCY"", ""NODE_COG_LANGUAGE""]",N/A,NODE_BIO_NFL,low,strong_association,"Dietrich et al., 2006; Han et al., 2008; Deprez et al., 2012",0.5,0,"{""processing_speed"": 0.9, ""verbal_fluency"": 0.6, ""language"": 0.5}","Chemo directly toxic to oligodendrocyte precursors → demyelination → white matter tract disruption. Primary effect on processing speed. DTI fractional anisotropy is gold standard (imaging, not peripheral).",1,1
PW_M17_DOPAMINERGIC,Dopaminergic Signaling,Dopamine,mechanistic,mechanistic_emerging,Low-Moderate,1.75,4,connected,"[""NODE_EXO_CHEMO_REGIMEN"", ""NODE_SYM_FATIGUE""]","[""NODE_BEH_SELF_EFFICACY"", ""NODE_COG_EXEC_INHIBITION""]","[""NODE_PATH_DOPAMINERGIC""]","[""NODE_EXO_CHEMO_REGIMEN"", ""NODE_SYM_FATIGUE"", ""NODE_PATH_DOPAMINERGIC"", ""NODE_BEH_SELF_EFFICACY"", ""NODE_COG_EXEC_INHIBITION""]",N/A,N/A_NO_PERIPHERAL_PROXY,N/A,plausible,"Saligan et al., 2015; Capuron et al., 2012",0.5,0,"{""executive_inhibition"": 0.6, ""sustained_attention"": 0.5, ""working_memory"": 0.3}",Chemo may disrupt dopamine synthesis → reduced motivation → reduced engagement → secondary cognitive effects. Links to self-efficacy (L1) and fatigue (L4). Mostly animal model evidence.,1,1
PW_C1_SLEEP,Sleep Disruption,Sleep,clinical_mediator,clinical_mediator,High (A),1.0,8,connected,"[""NODE_SYM_ANXIETY"", ""NODE_SYM_DEPRESSION"", ""NODE_PATH_HPA"", ""NODE_BEH_LIGHT_EXPOSURE""]","[""NODE_COG_ATTN_SUSTAINED"", ""NODE_COG_WORK_MEM"", ""NODE_COG_EPISODIC_MEM""]","[""NODE_SYM_SLEEP_DISRUPTION"", ""NODE_BEH_SLEEP_QUALITY"", ""NODE_PATH_GLYMPHATIC""]","[""NODE_SYM_ANXIETY"", ""NODE_SYM_DEPRESSION"", ""NODE_PATH_HPA"", ""NODE_BEH_LIGHT_EXPOSURE"", ""NODE_SYM_SLEEP_DISRUPTION"", ""NODE_BEH_SLEEP_QUALITY"", ""NODE_PATH_GLYMPHATIC"", ""NODE_COG_ATTN_SUSTAINED"", ""NODE_COG_WORK_MEM"", ""NODE_COG_EPISODIC_MEM""]",N/A,N/A_DIRECTLY_OBSERVABLE,N/A,causal_demonstrated,"Savard & Morin, 2001; Garland et al., 2014; Irwin, 2015",0.3,1,"{""sustained_attention"": 0.8, ""working_memory"": 0.7, ""episodic_memory"": 0.6, ""executive_planning"": 0.5}","Highest evidence clinical pathway. Contains LOOP_02 (Depression↔Sleep) and LOOP_03 (Anxiety↔Sleep). Drives glymphatic clearance. Target of CBT-I, sleep hygiene, bright light therapy.",1,1
PW_C2_FATIGUE,Cancer-Related Fatigue,Fatigue,clinical_mediator,clinical_mediator,High (A),1.0,7,connected,"[""NODE_PATH_OIC"", ""NODE_SYM_PAIN"", ""NODE_SYM_SLEEP_DISRUPTION""]","[""NODE_COG_ATTN_SUSTAINED"", ""NODE_COG_PROC_SPEED""]","[""NODE_SYM_FATIGUE"", ""NODE_BEH_PHYSICAL_ACTIVITY"", ""NODE_SYM_DECONDITIONING""]","[""NODE_PATH_OIC"", ""NODE_SYM_PAIN"", ""NODE_SYM_SLEEP_DISRUPTION"", ""NODE_SYM_FATIGUE"", ""NODE_BEH_PHYSICAL_ACTIVITY"", ""NODE_SYM_DECONDITIONING"", ""NODE_COG_ATTN_SUSTAINED"", ""NODE_COG_PROC_SPEED""]",N/A,N/A_DIRECTLY_OBSERVABLE,N/A,causal_demonstrated,"Bower, 2014; Berger et al., 2015; Mustian et al., 2017",0.3,1,"{""sustained_attention"": 0.8, ""processing_speed"": 0.7, ""working_memory"": 0.5}","Contains LOOP_01 (Fatigue↔Activity, gain=0.16, strongest feedback loop). Inflammation → fatigue → inactivity → deconditioning → reduced cerebral perfusion → cognition. Target of exercise interventions.",1,1
PW_C3_MOOD,Mood / Affect Disturbance,Mood,clinical_mediator,clinical_mediator,Moderate (B),1.15,6,connected,"[""NODE_PATH_HPA"", ""NODE_PATH_OIC""]","[""NODE_COG_WORK_MEM"", ""NODE_COG_EXEC_PLANNING"", ""NODE_COG_EPISODIC_MEM""]","[""NODE_SYM_DEPRESSION"", ""NODE_SYM_ANXIETY"", ""NODE_SYM_COG_COMPLAINTS""]","[""NODE_PATH_HPA"", ""NODE_PATH_OIC"", ""NODE_SYM_DEPRESSION"", ""NODE_SYM_ANXIETY"", ""NODE_SYM_COG_COMPLAINTS"", ""NODE_COG_WORK_MEM"", ""NODE_COG_EXEC_PLANNING"", ""NODE_COG_EPISODIC_MEM""]",CAL,N/A_DIRECTLY_OBSERVABLE,N/A,strong_association,"Berman et al., 2014; Andreotti et al., 2015",0.5,0,"{""working_memory"": 0.7, ""executive_planning"": 0.6, ""episodic_memory"": 0.6, ""sustained_attention"": 0.5}","CAL covariance structure links subjective cognitive complaints with depression (reporting bias). PHQ-9 somatic confound warning during active treatment. Target of MBSR, psychoeducation.",1,1
PW_C4_VASCULAR_METABOLIC,Vascular / Metabolic,VascMetab,clinical_mediator,clinical_mediator,Moderate (B),1.15,4,connected,"[""NODE_BIO_GLUCOSE"", ""NODE_EXO_COMORBIDITY""]","[""NODE_COG_PROC_SPEED"", ""NODE_COG_ATTN_SUSTAINED""]","[""NODE_PATH_METABOLIC"", ""NODE_PATH_CEREBROVASCULAR""]","[""NODE_BIO_GLUCOSE"", ""NODE_EXO_COMORBIDITY"", ""NODE_PATH_METABOLIC"", ""NODE_PATH_CEREBROVASCULAR"", ""NODE_COG_PROC_SPEED"", ""NODE_COG_ATTN_SUSTAINED""]",N/A,NODE_BIO_GLUCOSE,moderate,moderate_association,"Simo et al., 2015; Mandelblatt et al., 2014",0.5,0,"{""processing_speed"": 0.7, ""sustained_attention"": 0.5}",Links metabolic comorbidities to cognitive outcomes via cerebral perfusion. Overlaps with M13 (Metabolic) and M11 (Cerebrovascular) mechanistic pathways. Target of diet and exercise.,1,1
PW_C5_SOCIAL,Social Isolation,Social,clinical_mediator,clinical_mediator,Low-Moderate (C),1.75,3,connected,"[""NODE_SYM_FATIGUE"", ""NODE_SYM_DEPRESSION""]","[""NODE_COG_VERBAL_FLUENCY"", ""NODE_COG_EXEC_PLANNING""]","[""NODE_BEH_SOCIAL_ENGAGE""]","[""NODE_SYM_FATIGUE"", ""NODE_SYM_DEPRESSION"", ""NODE_BEH_SOCIAL_ENGAGE"", ""NODE_COG_VERBAL_FLUENCY"", ""NODE_COG_EXEC_PLANNING""]",N/A,N/A_DIRECTLY_OBSERVABLE,N/A,moderate_association,"Kuiper et al., 2016; Fratiglioni et al., 2004",0.5,0,"{""verbal_fluency"": 0.7, ""executive_planning"": 0.5}",Fatigue/depression → social withdrawal → reduced cognitive stimulation → verbal/executive decline. Fewest edges (3). Target of social support groups and psychoeducation.,1,1
