measure_id,measure_label,maps_to_node_id,measure_kind,analyte,specimen_or_device,biospecimen,device_type,proxy_type,time_aggregation,raw_unit,value_transform_spec,direction_rule_id,directionality_after_alignment,measure_family_id,compatibility_group_id,effective_window_days,min_required_samples,required_fields_json,preferred_norm_ref_id,preferred_noise_id,active,version,description,notes
MEAS_APOE_STATUS,APOE e4 Carrier Status,NODE_EXO_APOE,score,,questionnaire,,,self_report,point_in_time,ordinal_0_2,,DIR_NONE,higher_worse,FAM_APOE_GENOTYPE,COMPAT_APOE,0,1,"{""value"": ""required""}",NORM_APOE_POP,NOISE_APOE_T,1,v1.0,APOE e4 Carrier Status,"0=non-carrier, 1=e4_heterozygous, 2=e4_homozygous; one-time test"
MEAS_BDNF_CONC,Plasma BDNF Concentration,NODE_BIO_BDNF,score,BDNF,blood_sample,plasma,,self_report,point_in_time,pg_mL,,DIR_REVERSE,higher_better,FAM_BDNF_PLASMA,COMPAT_BDNF,0,1,"{""value"": ""required""}",NORM_BDNF_HEALTHY,NOISE_BDNF_T,1,v1.0,Plasma BDNF Concentration,PLASMA not serum (critical distinction); fasting AM; CV 10-15%
MEAS_BDNF_SERUM,Serum BDNF,NODE_BDNF,biomarker,bdnf,venipuncture,serum,,level,study_window,ng/mL,none,DIR_REVERSE,higher_better,FAM_BDNF,COMPAT_BDNF,1,1,"{""concentration"": ""required""}",,,1,1,Brain-derived neurotrophic factor serum concentration,Platelet-bound BDNF may confound
MEAS_BFI_SEVERITY,BFI Fatigue Severity,NODE_SYM_FATIGUE,subscale,,questionnaire,,,subscale,point_in_time,points_0_10,,DIR_REVERSE,higher_better,FAM_BFI,COMPAT_BFI,1,1,"{""value"": ""required""}",NORM_BFI_CANCER,NOISE_BFI_SEV,1,v1.0,BFI Fatigue Severity,"3-item severity: worst, usual, now; 0-10 NRS each"
MEAS_BNT_CORRECT,Boston Naming Test Total Correct,NODE_COG_LANGUAGE,score,,questionnaire,,,self_report,point_in_time,items_correct,,DIR_REVERSE,higher_better,FAM_BNT,COMPAT_BNT,0,1,"{""value"": ""required""}",NORM_BNT_STRATIFIED,NOISE_BNT_T,1,v1.0,Boston Naming Test Total Correct,Confrontation naming; 60-item or 15-item short form
MEAS_BPI_INTERFERENCE,BPI Pain Interference,NODE_SYM_PAIN,subscale,,questionnaire,,,subscale,point_in_time,points_0_10,,DIR_REVERSE,higher_better,FAM_BPI,COMPAT_BPI,1,1,"{""value"": ""required""}",NORM_BPI_CANCER,NOISE_BPI_INT,1,v1.0,BPI Pain Interference,7-item interference scale; mean of items
MEAS_BPI_WORST_PAIN,BPI Worst Pain Intensity,NODE_SYM_PAIN,subscale,,questionnaire,,,subscale,point_in_time,points_0_10,,DIR_REVERSE,higher_better,FAM_BPI,COMPAT_BPI,1,1,"{""value"": ""required""}",NORM_BPI_CANCER,NOISE_BPI_WORST,1,v1.0,BPI Worst Pain Intensity,Oppegaard 2023 uses worst pain intensity; single item 0-10
MEAS_CANCER_TYPE,Cancer Type Code,NODE_EXO_CANCER_TYPE,score,,questionnaire,,,self_report,point_in_time,category,,DIR_NONE,higher_worse,FAM_CLINICAL_CANCER_TYPE,COMPAT_CANCER,0,1,"{""value"": ""required""}",NORM_CANCER_TYPE,NOISE_CTYPE_T,1,v1.0,Cancer Type Code,Tier 0 required; 10-category ENUM per NODE_REGISTRY
MEAS_CAQ_TOTAL,CAQ Cognitive Activity Total,NODE_BEH_COG_ACTIVITY,score,,questionnaire,,,self_report,weekly,points_0_125,,DIR_REVERSE,higher_better,FAM_CAQ,COMPAT_CAQ,7,1,"{""value"": ""required""}",NORM_CAQ_ELDERLY,NOISE_CAQ_T,1,v1.0,CAQ Cognitive Activity Total,"Frequency of cognitively stimulating activities; reading, puzzles, games, etc."
MEAS_CCI_INDEX,Charlson Comorbidity Index,NODE_EXO_COMORBIDITY,score,,questionnaire,,,self_report,point_in_time,weighted_index,,DIR_REVERSE,higher_better,FAM_CCI,COMPAT_CCI,0,1,"{""value"": ""required""}",NORM_CCI_GENERAL,NOISE_CCI_T,1,v1.0,Charlson Comorbidity Index,Weighted sum of 19 conditions; alternative to SCQ
MEAS_CDRISC_TOTAL,CD-RISC Resilience Total,NODE_BEH_STRESS_MGMT,score,,questionnaire,,,self_report,monthly,points_0_40,,DIR_REVERSE,higher_better,FAM_CDRISC,COMPAT_CDRISC,30,1,"{""value"": ""required""}",NORM_CDRISC_US,NOISE_CDRISC_T,1,v1.0,CD-RISC Resilience Total,Oppegaard 2023 SDOH indicator; 10-item version; sample mean 30.1
MEAS_CESD_TOTAL,CES-D Depression Total,NODE_SYM_DEPRESSION,score,,questionnaire,,,self_report,weekly,points_0_60,,DIR_REVERSE,higher_better,FAM_CESD,COMPAT_CESD,7,1,"{""value"": ""required""}",NORM_CESD_GENERAL,NOISE_CESD_T,1,v1.0,CES-D Depression Total,Oppegaard 2023 co-occurring symptom indicator; cutoff ≥16
MEAS_COGRESERVE_COMP,Cognitive Reserve Composite,NODE_EXO_COG_RESERVE,score,,questionnaire,,,self_report,point_in_time,z_score,,DIR_REVERSE,higher_better,FAM_COG_RESERVE_COMP,COMPAT_COGRESERVE,0,1,"{""value"": ""required""}",NORM_COGRESERVE_POP,NOISE_COGRESERVE_T,1,v1.0,Cognitive Reserve Composite,Z-scored composite: education years + occupation complexity + reading-based IQ
MEAS_CORTISOL_SALIVA,Salivary Cortisol,NODE_CORTISOL,biomarker,cortisol,saliva_collection,saliva,,level,diurnal,nmol/L,log,DIR_HIGHER_WORSE,higher_worse,FAM_CORTISOL,COMPAT_CORTISOL,1,3,"{""concentration"": ""required"", ""collection_time"": ""required""}",,,1,1,Salivary cortisol concentration for diurnal profiling,Multiple samples per day needed
MEAS_CORTISOL_SLOPE,Diurnal Cortisol Slope,NODE_CORTISOL,biomarker,cortisol,saliva_collection,saliva,,slope,diurnal,nmol_L_per_hour,none,DIR_HIGHER_WORSE,higher_worse,FAM_CORTISOL,COMPAT_CORTISOL,1,4,"{""slope"": ""required"", ""r_squared"": ""optional""}",,,1,1,Diurnal cortisol slope (flatter = more dysregulated = worse),Requires 4+ samples across day
MEAS_COWAT_PHONEMIC,COWAT Phonemic Fluency (FAS),NODE_COG_VERBAL_FLUENCY,subscale,,questionnaire,,,subscale,point_in_time,total_words,,DIR_REVERSE,higher_better,FAM_COWAT,COMPAT_COWAT,0,1,"{""value"": ""required""}",NORM_COWAT_STRATIFIED,NOISE_COWAT_PHON,1,v1.0,COWAT Phonemic Fluency (FAS),Sum of 3 letter trials (F+A+S); 60 seconds each
MEAS_COWAT_SEMANTIC,COWAT Semantic Fluency (Animals),NODE_COG_VERBAL_FLUENCY,subscale,,questionnaire,,,subscale,point_in_time,total_words,,DIR_REVERSE,higher_better,FAM_COWAT,COMPAT_COWAT,0,1,"{""value"": ""required""}",NORM_COWAT_STRATIFIED,NOISE_COWAT_SEM,1,v1.0,COWAT Semantic Fluency (Animals),Category fluency; animals in 60 seconds; more sensitive to semantic memory
MEAS_CPT_DPRIME,CPT d-prime,NODE_COG_ATTN_SUSTAINED,subscale,,questionnaire,,,subscale,point_in_time,d_prime_units,,DIR_REVERSE,higher_better,FAM_CPT,COMPAT_CPT,0,1,"{""value"": ""required""}",NORM_CPT_STRATIFIED,NOISE_CPT_DP,1,v1.0,CPT d-prime,Signal detection theory metric; higher = better discrimination
MEAS_CRP_CONC,hs-CRP Serum Concentration,NODE_BIO_CRP,score,CRP,blood_sample,serum,,self_report,point_in_time,mg_L,,DIR_REVERSE,higher_better,FAM_CRP_HS,COMPAT_CRP,0,1,"{""value"": ""required""}",NORM_CRP_CV,NOISE_CRP_T,1,v1.0,hs-CRP Serum Concentration,Log-transformed; CV <5%; exclude >10 mg/L (acute infection)
MEAS_CRP_SERUM,Serum CRP,NODE_CRP,biomarker,crp,venipuncture,serum,,level,study_window,mg/L,log,DIR_HIGHER_WORSE,higher_worse,FAM_CRP,COMPAT_CRP,1,1,"{""concentration"": ""required"", ""high_sensitivity"": ""optional""}",,,1,1,C-reactive protein serum concentration,hs-CRP preferred for precision
MEAS_DIGIT_BACKWARD,Digit Span Backward,NODE_COG_WORK_MEM,subscale,,questionnaire,,,subscale,point_in_time,scaled_score,,DIR_REVERSE,higher_better,FAM_DIGIT_SPAN,COMPAT_DIGIT,0,1,"{""value"": ""required""}",NORM_WAIS_STRATIFIED,NOISE_DSB,1,v1.0,Digit Span Backward,Backward span most sensitive to working memory; scaled score metric
MEAS_EORTC_COGNITION,EORTC QLQ-C30 Cognitive Function,NODE_SYM_COG_COMPLAINTS,subscale,,questionnaire,,,subscale,weekly,points_0_100,,DIR_REVERSE,higher_better,FAM_EORTC_C30,COMPAT_EORTC,7,1,"{""value"": ""required""}",NORM_EORTC_CANCER,NOISE_EORTC_COG,1,v1.0,EORTC QLQ-C30 Cognitive Function,2-item cognitive function subscale from QLQ-C30; limited sensitivity for CRCI
MEAS_EORTC_FATIGUE,EORTC QLQ-C30 Fatigue,NODE_SYM_FATIGUE,subscale,,questionnaire,,,subscale,weekly,points_0_100,,DIR_REVERSE,higher_better,FAM_EORTC_C30,COMPAT_EORTC,7,1,"{""value"": ""required""}",NORM_EORTC_CANCER,NOISE_EORTC_FAT,1,v1.0,EORTC QLQ-C30 Fatigue,Symptom scale: higher = worse fatigue; 3-item subscale
MEAS_EORTC_GLOBAL,EORTC QLQ-C30 Global Health/QoL,NODE_SYM_DECONDITIONING,subscale,,questionnaire,,,subscale,weekly,points_0_100,,DIR_REVERSE,higher_better,FAM_EORTC_C30,COMPAT_EORTC,7,1,"{""value"": ""required""}",NORM_EORTC_CANCER,NOISE_EORTC_GLOB,1,v1.0,EORTC QLQ-C30 Global Health/QoL,Global health status/QoL; 2-item; higher = better; general functional indicator
MEAS_EORTC_NAUSEA,EORTC QLQ-C30 Nausea/Vomiting,NODE_SYM_APPETITE,subscale,,questionnaire,,,subscale,weekly,points_0_100,,DIR_REVERSE,higher_better,FAM_EORTC_C30,COMPAT_EORTC,7,1,"{""value"": ""required""}",NORM_EORTC_CANCER,NOISE_EORTC_NAUS,1,v1.0,EORTC QLQ-C30 Nausea/Vomiting,Symptom scale: higher = worse; maps to appetite/nausea node
MEAS_FACIT_F_TOTAL,FACIT-Fatigue Total,NODE_SYM_FATIGUE,score,,questionnaire,,,self_report,weekly,points_0_52,,DIR_REVERSE,higher_better,FAM_FACIT_FATIGUE,COMPAT_FACIT,7,1,"{""value"": ""required""}",NORM_FACIT_CANCER,NOISE_FACIT_F_T,1,v1.0,FACIT-Fatigue Total,Higher = less fatigue; MCID 3 points; Tier 1
MEAS_FACTCOG_PCI_TOTAL,FACT-Cog PCI Total,NODE_SYM_COG_COMPLAINTS,subscale,,questionnaire,,,subscale,weekly,points_0_72,,DIR_REVERSE,higher_better,FAM_FACTCOG_PCI,COMPAT_FACTCOG,7,1,"{""value"": ""required""}",NORM_FACTCOG_CANCER,NOISE_FACTCOG_PCI,1,v1.0,FACT-Cog PCI Total,20-item perceived cognitive impairments subscale; higher = better
MEAS_FACTCOG_QOL,FACT-Cog Impact on QoL,NODE_SYM_COG_COMPLAINTS,subscale,,questionnaire,,,subscale,weekly,points_0_16,,DIR_REVERSE,higher_better,FAM_FACTCOG_PCI,COMPAT_FACTCOG,7,1,"{""value"": ""required""}",NORM_FACTCOG_CANCER,NOISE_FACTCOG_QOL,1,v1.0,FACT-Cog Impact on QoL,4-item impact on quality of life subscale
MEAS_GAD7_TOTAL,GAD-7 Anxiety Severity Total,NODE_SYM_ANXIETY,score,,questionnaire,,,self_report,biweekly,points_0_21,,DIR_REVERSE,higher_better,FAM_GAD7,COMPAT_GAD7,14,1,"{""value"": ""required""}",NORM_GAD7_CANCER,NOISE_GAD7_T,1,v1.0,GAD-7 Anxiety Severity Total,5/10/15 severity cutoffs; Tier 2
MEAS_GH2AX_FOCI,γ-H2AX Foci Per Cell,NODE_BIO_GH2AX,score,,questionnaire,,,self_report,point_in_time,foci_per_cell,,DIR_REVERSE,higher_better,FAM_GH2AX_LYMPH,COMPAT_GH2AX,0,1,"{""value"": ""required""}",NORM_GH2AX_HEALTHY,NOISE_GH2AX_T,1,v1.0,γ-H2AX Foci Per Cell,DNA double-strand break marker; elevated post-chemotherapy and radiation
MEAS_GLTEQ_LSI,GLTEQ Leisure Score Index,NODE_BEH_PHYSICAL_ACTIVITY,score,,questionnaire,,,self_report,weekly,leisure_units,,DIR_REVERSE,higher_better,FAM_GLTEQ,COMPAT_GLTEQ,7,1,"{""value"": ""required""}",NORM_GLTEQ_CANCER,NOISE_GLTEQ_T,1,v1.0,GLTEQ Leisure Score Index,"<14 insufficiently active, 14-23 moderate, ≥24 active"
MEAS_GLUCOSE_FASTING,Fasting Glucose Concentration,NODE_BIO_GLUCOSE,score,,questionnaire,,,self_report,point_in_time,mg_dL,,DIR_REVERSE,higher_better,FAM_GLUCOSE_FASTING,COMPAT_GLUCOSE,0,1,"{""value"": ""required""}",NORM_GLUCOSE_ADA,NOISE_GLUCOSE_T,1,v1.0,Fasting Glucose Concentration,"Standard clinical lab; <100 normal, 100-125 prediabetes, ≥126 diabetes"
MEAS_GSDS_TOTAL,GSDS Total Sleep Disturbance,NODE_SYM_SLEEP_DISRUPTION,score,,questionnaire,,,self_report,weekly,points_0_147,,DIR_REVERSE,higher_better,FAM_GSDS,COMPAT_GSDS,7,1,"{""value"": ""required""}",NORM_GSDS_CANCER,NOISE_GSDS_T,1,v1.0,GSDS Total Sleep Disturbance,Oppegaard 2023 co-occurring symptom indicator; cutoff >43.0
MEAS_GSES_TOTAL,GSES Self-Efficacy Total,NODE_BEH_SELF_EFFICACY,score,,questionnaire,,,self_report,point_in_time,points_10_40,,DIR_REVERSE,higher_better,FAM_GSES,COMPAT_GSES,0,1,"{""value"": ""required""}",NORM_GSES_INTL,NOISE_GSES_T,1,v1.0,GSES Self-Efficacy Total,10-40 range; higher = greater self-efficacy
MEAS_HRV_RMSSD,HRV RMSSD,NODE_HRV,wearable,,actigraphy,,actigraphy,level,daily,ms,log,DIR_REVERSE,higher_better,FAM_HRV,COMPAT_HRV,1,1,"{""rmssd"": ""required""}",,,1,1,Root mean square of successive RR differences — vagal tone index,Time-domain HRV metric
MEAS_HVLTR_DELAYED,HVLT-R Delayed Recall,NODE_COG_EPISODIC_MEM,subscale,,questionnaire,,,subscale,point_in_time,words_correct,,DIR_REVERSE,higher_better,FAM_HVLTR,COMPAT_HVLTR,0,1,"{""value"": ""required""}",NORM_HVLTR_AGE,NOISE_HVLTR_DR,1,v1.0,HVLT-R Delayed Recall,Free recall after 20-25 min delay; most sensitive to CRCI
MEAS_HVLTR_TOTAL_RECALL,HVLT-R Total Recall (Trials 1-3),NODE_COG_EPISODIC_MEM,subscale,,questionnaire,,,subscale,point_in_time,words_correct,,DIR_REVERSE,higher_better,FAM_HVLTR,COMPAT_HVLTR,0,1,"{""value"": ""required""}",NORM_HVLTR_AGE,NOISE_HVLTR_TR,1,v1.0,HVLT-R Total Recall (Trials 1-3),Sum of words recalled across 3 learning trials; 12 words per list
MEAS_IESR_INTRUSION,IES-R Intrusion Subscale,NODE_SYM_ANXIETY,subscale,,questionnaire,,,subscale,weekly,points_0_32,,DIR_REVERSE,higher_better,FAM_IES_R,COMPAT_IESR,7,1,"{""value"": ""required""}",NORM_IESR_TRAUMA,NOISE_IESR_INT,1,v1.0,IES-R Intrusion Subscale,8-item intrusion subscale; cancer-related intrusive thoughts
MEAS_IESR_TOTAL,IES-R Cancer-Specific Stress Total,NODE_BEH_STRESS_MGMT,score,,questionnaire,,,self_report,weekly,points_0_88,,DIR_REVERSE,higher_better,FAM_IES_R,COMPAT_IESR,7,1,"{""value"": ""required""}",NORM_IESR_TRAUMA,NOISE_IESR_T,1,v1.0,IES-R Cancer-Specific Stress Total,Oppegaard 2023 patient-specific factor; cutoff >24 for clinically significant stress
MEAS_IL6_CONC,IL-6 Plasma Concentration,NODE_BIO_IL6,score,IL-6,blood_sample,plasma,,self_report,point_in_time,pg_mL,,DIR_REVERSE,higher_better,FAM_IL6_PLASMA,COMPAT_IL6,0,1,"{""value"": ""required""}",NORM_IL6_HEALTHY,NOISE_IL6_T,1,v1.0,IL-6 Plasma Concentration,Log-transformed for analysis; CV <10%; fasting plasma
MEAS_IL6_PLASMA,Plasma IL-6,NODE_IL6,biomarker,il6,venipuncture,plasma,,level,study_window,pg/mL,log,DIR_HIGHER_WORSE,higher_worse,FAM_IL6,COMPAT_IL6,1,1,"{""concentration"": ""required""}",,,1,1,Plasma interleukin-6 concentration by immunoassay,EDTA plasma preferred
MEAS_IL6_SERUM,Serum IL-6,NODE_IL6,biomarker,il6,venipuncture,serum,,level,study_window,pg/mL,log,DIR_HIGHER_WORSE,higher_worse,FAM_IL6,COMPAT_IL6,1,1,"{""concentration"": ""required"", ""assay_method"": ""optional""}",,,1,1,Serum interleukin-6 concentration by immunoassay,Log-transform recommended due to skew
MEAS_IPAQ_TOTAL_MET,IPAQ Total MET-minutes/week,NODE_BEH_PHYSICAL_ACTIVITY,score,,questionnaire,,,self_report,weekly,MET_min_week,,DIR_REVERSE,higher_better,FAM_IPAQ,COMPAT_IPAQ,7,1,"{""value"": ""required""}",NORM_IPAQ_INTL,NOISE_IPAQ_T,1,v1.0,IPAQ Total MET-minutes/week,"<600 low, 600-3000 moderate, >3000 high activity level"
MEAS_ISI_TOTAL,ISI Insomnia Severity Total,NODE_SYM_SLEEP_DISRUPTION,score,,questionnaire,,,self_report,biweekly,points_0_28,,DIR_REVERSE,higher_better,FAM_ISI,COMPAT_ISI,14,1,"{""value"": ""required""}",NORM_ISI_CANCER,NOISE_ISI_T,1,v1.0,ISI Insomnia Severity Total,"8-14 subthreshold, 15-21 moderate, 22-28 severe; Tier 2"
MEAS_KPS_SCORE,KPS Functional Status Score,NODE_SYM_DECONDITIONING,score,,questionnaire,,,self_report,point_in_time,points_10_100,,DIR_REVERSE,higher_better,FAM_KPS,COMPAT_KPS,0,1,"{""value"": ""required""}",NORM_KPS_CANCER,NOISE_KPS_T,1,v1.0,KPS Functional Status Score,Oppegaard 2023 patient-specific factor; decile scale 10-100; sample mean 80
MEAS_LFS_EVENING,LFS Evening Fatigue,NODE_SYM_FATIGUE,subscale,,questionnaire,,,subscale,point_in_time,points_0_10,,DIR_REVERSE,higher_better,FAM_LFS,COMPAT_LFS,1,1,"{""value"": ""required""}",NORM_LFS_CANCER,NOISE_LFS_PM,1,v1.0,LFS Evening Fatigue,Oppegaard 2023 co-occurring symptom indicator; cutoff >5.6
MEAS_LFS_MORNING,LFS Morning Fatigue,NODE_SYM_FATIGUE,subscale,,questionnaire,,,subscale,point_in_time,points_0_10,,DIR_REVERSE,higher_better,FAM_LFS,COMPAT_LFS,1,1,"{""value"": ""required""}",NORM_LFS_CANCER,NOISE_LFS_AM,1,v1.0,LFS Morning Fatigue,Oppegaard 2023 co-occurring symptom indicator; cutoff >3.2
MEAS_LSCR_COUNT,LSC-R Lifetime Stressor Count,NODE_BEH_STRESS_MGMT,score,,questionnaire,,,self_report,point_in_time,count_0_30,,DIR_REVERSE,higher_better,FAM_LSC_R,COMPAT_LSCR,0,1,"{""value"": ""required""}",NORM_LSCR_GENERAL,NOISE_LSCR_CT,1,v1.0,LSC-R Lifetime Stressor Count,Oppegaard 2023 SDOH indicator; cumulative lifetime stress; sum of endorsed events
MEAS_LSNS_TOTAL,LSNS-6 Social Network Total,NODE_BEH_SOCIAL_ENGAGE,score,,questionnaire,,,self_report,monthly,points_0_30,,DIR_REVERSE,higher_better,FAM_LSNS,COMPAT_LSNS,30,1,"{""value"": ""required""}",NORM_LSNS_ELDERLY,NOISE_LSNS_T,1,v1.0,LSNS-6 Social Network Total,<12 at risk for social isolation; each subscale 0-15
MEAS_MAX2_INDEX,MAX2 Chemotherapy Toxicity Index,NODE_EXO_CHEMO_REGIMEN,score,,questionnaire,,,self_report,point_in_time,index_0_1,,DIR_REVERSE,higher_better,FAM_MAX2,COMPAT_MAX2,0,1,"{""value"": ""required""}",NORM_MAX2_ECOG,NOISE_MAX2_T,1,v1.0,MAX2 Chemotherapy Toxicity Index,"Oppegaard 2023 treatment factor; sample mean 0.17; regimen-level, not patient-level"
MEAS_MDA_CONC,MDA Plasma Concentration,NODE_BIO_MDA,score,MDA,blood_sample,plasma,,self_report,point_in_time,umol_L,,DIR_REVERSE,higher_better,FAM_MDA_PLASMA,COMPAT_MDA,0,1,"{""value"": ""required""}",NORM_MDA_HEALTHY,NOISE_MDA_T,1,v1.0,MDA Plasma Concentration,Lipid peroxidation marker; HPLC more specific than TBARS
MEAS_MEDDIET_SCORE,Mediterranean Diet Adherence,NODE_BEH_DIET,score,,questionnaire,,,self_report,weekly,points_0_14,,DIR_REVERSE,higher_better,FAM_MED_DIET,COMPAT_MEDDIET,7,1,"{""value"": ""required""}",NORM_MEDDIET_PRED,NOISE_MEDDIET_T,1,v1.0,Mediterranean Diet Adherence,14-item screener; ≥9 good adherence
MEAS_MOCA_TOTAL,MoCA Total Score,NODE_COMP_CRCI,score,,questionnaire,,,self_report,point_in_time,points_0_30,,DIR_REVERSE,higher_better,FAM_MOCA,COMPAT_MOCA,0,1,"{""value"": ""required""}",NORM_MOCA_GENERAL,NOISE_MOCA_TOTAL,1,v1.0,MoCA Total Score,Global screen; +1 education correction; ceiling effects in mild impairment
MEAS_NEO_NEUROTICISM,NEO-FFI Neuroticism Score,NODE_BEH_STRESS_MGMT,score,,questionnaire,,,self_report,point_in_time,points_0_48,,DIR_REVERSE,higher_better,FAM_NEO_FFI,COMPAT_NEO,0,1,"{""value"": ""required""}",NORM_NEO_US,NOISE_NEO_N_T,1,v1.0,NEO-FFI Neuroticism Score,"Oppegaard 2023 patient-specific factor; sample mean 15.1; trait measure, stable"
MEAS_NFL_CONC,NfL Plasma Concentration,NODE_BIO_NFL,score,,blood_sample,plasma,,self_report,point_in_time,pg_mL,,DIR_REVERSE,higher_better,FAM_NFL_PLASMA,COMPAT_NFL,0,1,"{""value"": ""required""}",NORM_NFL_AGE,NOISE_NFL_T,1,v1.0,NfL Plasma Concentration,Ultrasensitive Simoa immunoassay; neuroaxonal damage; age-dependent reference ranges
MEAS_NRS_PAIN,NRS Pain Intensity,NODE_SYM_PAIN,score,,questionnaire,,,self_report,point_in_time,points_0_10,,DIR_REVERSE,higher_better,FAM_NRS_PAIN,COMPAT_NRS,1,1,"{""value"": ""required""}",NORM_NRS_CANCER,NOISE_NRS_PAIN_T,1,v1.0,NRS Pain Intensity,"Single-item 0-10; simplest pain measure; ≥4 moderate, ≥7 severe"
MEAS_P16_EXPR,p16^INK4a T-Cell Expression Level,NODE_BIO_P16,score,,questionnaire,,,self_report,point_in_time,relative_expression,,DIR_REVERSE,higher_better,FAM_P16_TCELL,COMPAT_P16,0,1,"{""value"": ""required""}",NORM_P16_AGE,NOISE_P16_T,1,v1.0,p16^INK4a T-Cell Expression Level,Increases with biological aging; chemotherapy accelerates expression
MEAS_PHQ2_SCREEN,PHQ-2 Depression Screen,NODE_SYM_DEPRESSION,score,,questionnaire,,,self_report,biweekly,points_0_6,,DIR_REVERSE,higher_better,FAM_PHQ2,COMPAT_PHQ2,14,1,"{""value"": ""required""}",NORM_PHQ2_GENERAL,NOISE_PHQ2_T,1,v1.0,PHQ-2 Depression Screen,Ultra-brief depression screen; ≥3 positive; use during active treatment
